"year","country","location","precipitation"
2013,"New Zealand","Port Cassandraside",0.9474306074422788
2010,"Croatia","Lake Jeffrey",0.957677930035572
2009,"Korea","Port Oliviaport",0.9698648957801148
2005,"Antigua and Barbuda","New Bradley",0.9800310294006852
2021,"French Southern Territories","Hoganmouth",0.9848634476171568
2019,"Aruba","West Johnburgh",1.0109411876409569
2013,"South Africa","Stewarthaven",1.022190357886843
2000,"Kiribati","East James",1.0314235596670107
2008,"Japan","West Julianton",1.0331187107168849
2017,"Montserrat","Diazstad",1.039553513976932
2004,"Puerto Rico","Blackwellberg",1.0517214349146764
2009,"Congo","New Gregoryfurt",1.0552034139574509
2015,"Isle of Man","Ericview",1.056407875200993
2019,"Angola","Thomasland",1.058417598083583
2013,"Slovakia (Slovak Republic)","West Steven",1.0775944955469965
2007,"Chile","East Adamberg",1.0817559383247244
2006,"Sweden","Halltown",1.1006012597556736
2008,"Christmas Island","Robertside",1.1160881550812518
2010,"Panama","New Brianna",1.1190969481986943
2011,"Vanuatu","Graystad",1.1240847838391077
2017,"Sudan","Jesseside",1.1278154018042108
2016,"Burundi","Whiteview",1.1289615001174869
2015,"Costa Rica","Sarahport",1.1499884569644123
2003,"Micronesia","Port Aliciatown",1.1586129194465775
2020,"France","Briannafurt",1.1726896218748784
2010,"Svalbard & Jan Mayen Islands","Underwoodfort",1.1742457331474054
2008,"Bahamas","West Brianport",1.1774711263985105
2009,"Anguilla","Lake Dawn",1.181641609848949
2019,"Timor-Leste","Fritzstad",1.1913831886503743
2005,"Philippines","Andersonchester",1.203476780237822
2017,"Nigeria","Crystalmouth",1.2046665139068602
2012,"Algeria","North Angela",1.2508815220378056
2010,"Paraguay","Lake Glenn",1.2596524922579566
2012,"Turkmenistan","Stephaniechester",1.2599575128230178
2019,"Gabon","Wilsonfurt",1.2677361945362065
2006,"Mauritania","Port Barbaraton",1.2786293356766951
2000,"Cote d'Ivoire","Jenniferfurt",1.2839587859686863
2022,"Micronesia","Brockstad",1.3337969468206643
2021,"Faroe Islands","South Robertmouth",1.3362699137028478
2017,"Ecuador","Perezton",1.3473124530814395
2006,"Comoros","Elizabethton",1.3499738285406293
2022,"Canada","East Coreyburgh",1.3662768559921656
2002,"Burundi","Port Danielview",1.3771426007738952
2003,"Nigeria","East Devinborough",1.379936543270488
2020,"Ukraine","Mcdonaldfurt",1.3827696499910225
2003,"Maldives","Lake Joshua",1.384860539369659
2012,"Belize","Marcushaven",1.389803700608594
2009,"Pakistan","Russostad",1.4069795295130194
2012,"Saint Helena","West Susan",1.412124172476692
2010,"Uruguay","Lake Melissa",1.4144267769905516
2012,"Iraq","West Melissamouth",1.4144323832502526
2011,"Chile","North Phyllisview",1.4256037684186595
2012,"Tuvalu","North Kellymouth",1.4533593131470846
2022,"Tunisia","Lake Brucefurt",1.454953311387519
2009,"Cape Verde","East Jennifershire",1.4552307030686995
2002,"Vietnam","Edwardshire",1.4636543836682558
2000,"Panama","East Jasonside",1.4698270414724046
2011,"Nepal","Andrealand",1.471299337683496
2007,"Chad","Mcphersonview",1.4732750261926997
2019,"Luxembourg","East Andrew",1.4837541202394666
2016,"Thailand","Loganshire",1.4884658232522052
2007,"San Marino","Noahburgh",1.4895526305930606
2004,"Suriname","West Jasonville",1.491808465694611
2010,"Saint Barthelemy","Rubioland",1.4952253357850331
2000,"New Zealand","West Robert",1.4990277401209615
2011,"Ghana","Robertsonville",1.501410887205512
2007,"Korea","Brittanyborough",1.5285764372404476
2007,"Samoa","Vegaville",1.5290389828798712
2008,"United States Virgin Islands","Frankport",1.5366199841738148
2007,"Bolivia","West Angelica",1.547129659947788
2006,"British Virgin Islands","West Kelsey",1.5556696582252116
2004,"Sao Tome and Principe","Zacharytown",1.5720698052338888
2005,"United States Virgin Islands","North Davidborough",1.5945750300627726
2014,"Palestinian Territory","West Scottfurt",1.6184968652407816
2004,"Syrian Arab Republic","West Reneeborough",1.6261292690264773
2013,"Botswana","Harrisonville",1.6414962047955672
2018,"Guam","Castanedahaven",1.6540964949486314
2002,"Cuba","West Melissa",1.6622763502308069
2003,"Poland","New Thomasfort",1.6661015769945386
2001,"Mexico","East Elizabeth",1.668251889338035
2003,"Cambodia","North Cynthiashire",1.669086320098434
2020,"Jersey","Williamsonberg",1.7057090814785236
2009,"Korea","North Hectorton",1.7159385366731672
2022,"Central African Republic","Tylershire",1.7405196094909758
2018,"Liechtenstein","East Dalton",1.768210001439663
2015,"Togo","Davidburgh",1.8037963115946745
2005,"Algeria","Meganfurt",1.8043121114666996
2010,"Austria","South Robert",1.806669707110553
2001,"Bouvet Island (Bouvetoya)","New Roberta",1.8100576933050672
2022,"Ecuador","Anthonyton",1.8175648201426808
2017,"French Guiana","North Johnathan",1.825455942763732
2005,"Sierra Leone","New Mark",1.8267650417409853
2017,"Armenia","New Wayneshire",1.827699393008242
2017,"Marshall Islands","Seanland",1.8409729948408728
2019,"El Salvador","Port Joshua",1.846995068633217
2003,"Bermuda","Port Kevinshire",1.854696041926951
2022,"Cape Verde","New Yolandamouth",1.872491747253424
2016,"Cook Islands","Aprilmouth",1.8938978902501624
2000,"Namibia","Stephaniemouth",1.8980035084112723
2002,"United Arab Emirates","Johnborough",1.898665879422068
2002,"Sierra Leone","Davidberg",1.900855343522445
2004,"Argentina","East Karla",1.9018123384123784
2010,"Mali","Brownfurt",1.952633011260252
2016,"Rwanda","Joshuaberg",1.9598048556109584
2018,"United States Virgin Islands","Navarroborough",1.9708746677549072
2001,"Azerbaijan","North Timothyton",1.977362793049653
2000,"Moldova","South Eileen",1.9891783331102972
2000,"Iceland","North Ericchester",1.9990654017286835
2020,"Azerbaijan","East Kathy",2.009596330031316
2003,"American Samoa","Danielhaven",2.0147489126356
2006,"Benin","Hollandview",2.030968107345854
2015,"American Samoa","Riosberg",2.038569817274128
2006,"Korea","East Kellyville",2.0448885688230334
2016,"Saint Barthelemy","Foxburgh",2.067227869066901
2014,"Guadeloupe","South Emilystad",2.0814812801559945
2011,"Saint Vincent and the Grenadines","North Josephburgh",2.091835970131972
2005,"Oman","Judyberg",2.093918306477882
2006,"Macao","Trujillobury",2.0982271523286244
2012,"Hong Kong","Watkinsfurt",2.111839802914206
2001,"Switzerland","Angelicaside",2.116214317194798
2007,"Anguilla","Joshuabury",2.127194004962152
2021,"Liberia","Angelaborough",2.144606042981212
2005,"Serbia","Port Warren",2.1521349329170825
2008,"Cape Verde","New Nicholaston",2.1597753848833112
2014,"Japan","Lake Stephanie",2.16306278635634
2019,"United Kingdom","Youngland",2.169880031962146
2004,"Saudi Arabia","Nicholasbury",2.1773769124728948
2003,"Mauritius","New Stevenfurt",2.196351061273949
2016,"Macao","West Samuel",2.222511208318912
2006,"United States Virgin Islands","Millerburgh",2.2225960147955197
2005,"Jersey","Davisburgh",2.234173405502893
2004,"Monaco","Vangview",2.236539292752404
2018,"Azerbaijan","Port Justin",2.25112429587786
2007,"Zambia","Martinezborough",2.2591734687624987
2010,"Grenada","Harrismouth",2.2619902461332497
2000,"Nepal","Stewartburgh",2.2686882406000253
2011,"Bolivia","New Edwardborough",2.274536827257212
2013,"Bermuda","West Megan",2.2767673192831905
2011,"Palestinian Territory","Knightburgh",2.317072889368965
2011,"Bosnia and Herzegovina","Brandonberg",2.318245716696876
2007,"Iraq","Lake Karenstad",2.3204694257738523
2011,"Poland","East Donna",2.3242308539969003
2011,"Guernsey","Ellismouth",2.325862080508867
2005,"Botswana","East Vanessa",2.3290129637509205
2014,"Cayman Islands","Port Johnstad",2.349058694346051
2012,"Bhutan","Port Stephen",2.3518637519008623
2006,"Korea","Port Monica",2.353326317596282
2015,"Northern Mariana Islands","Lake Walter",2.356674672872128
2015,"Macao","New Michael",2.3689642297025526
2019,"Germany","Thorntonchester",2.376563162709322
2020,"Congo","New Melissaborough",2.3776185401855776
2020,"Saint Kitts and Nevis","Stevenborough",2.3925427432493374
2001,"Bermuda","Acostaport",2.393857740865535
2006,"Poland","West Christineview",2.4009243962962
2020,"Burkina Faso","South Laurenchester",2.4193505205787003
2003,"Lesotho","Fishermouth",2.422895968803651
2015,"El Salvador","Larrymouth",2.4250539253108494
2017,"Austria","Lake Ruth",2.44630473759615
2008,"Congo","Sullivanbury",2.497510657822921
2010,"Saint Kitts and Nevis","Lake Aarontown",2.499978470002906
2008,"Turks and Caicos Islands","Garciafort",2.5150381178547287
2005,"Cameroon","East Matthew",2.51713782115831
2002,"Guinea","New Jeffreystad",2.5208279273296275
2004,"Rwanda","Graystad",2.527049241172119
2010,"Samoa","East Eric",2.5544819149698084
2022,"Latvia","East Jermaine",2.570671615786946
2021,"Haiti","South Benjamin",2.5866938935814265
2002,"Pitcairn Islands","Lake Cole",2.608696971092528
2020,"Antarctica (the territory South of 60 deg S)","Estradaville",2.611872836136131
2009,"Belgium","West Traceyland",2.6191867127677737
2015,"Pakistan","Aaronshire",2.6515984234321888
2017,"Oman","North Anna",2.658021208102057
2016,"Anguilla","New Brianna",2.6666714676946035
2013,"Svalbard & Jan Mayen Islands","West Linda",2.6700063516685413
2019,"Uzbekistan","Sancheztown",2.678334035450558
2017,"Afghanistan","North Kimberlyberg",2.6801715716178287
2006,"Montenegro","Marymouth",2.6919207078067053
2019,"Bulgaria","East Anthony",2.7112220921756025
2009,"Greece","North Carolinebury",2.7190050180632364
2022,"Belarus","Port Daniel",2.728301177718462
2013,"Haiti","New Williamborough",2.733178985760998
2018,"Mali","South Philip",2.733585256837223
2022,"Guinea-Bissau","Charlestown",2.747674334395178
2019,"Djibouti","Kathrynbury",2.7730434869537746
2011,"Belize","Benjaminport",2.782743535134713
2020,"Mozambique","Williamsside",2.796849741610508
2021,"Bolivia","Michaelhaven",2.797454678094635
2018,"Thailand","North Michelle",2.806662576676533
2001,"Bhutan","Ortizstad",2.8339847806092444
2006,"Italy","Catherinefort",2.840542865430895
2011,"Philippines","West Susanborough",2.850990113643881
2009,"Slovenia","Wilsonton",2.909329072517341
2003,"Iceland","North Henryshire",2.9326226661745336
2011,"Guyana","New Dave",2.936254202747779
2005,"Panama","Joshuashire",2.9437073397174607
2008,"San Marino","North Paulmouth",2.9500307837313056
2021,"Mauritania","Mariaside",2.961302672669264
2015,"Canada","Sarahmouth",2.9654111079930323
2017,"Tuvalu","Smithshire",2.980852620430829
2012,"Poland","New Laura",2.98340425471465
2003,"Kenya","West Cynthiaport",3.002860493970927
2013,"Macao","Spencerport",3.0038012448878493
2021,"Guinea","Shawland",3.010909849739296
2003,"Bangladesh","New Melissamouth",3.0237760849791906
2014,"Poland","Deborahport",3.046121673226898
2010,"Brunei Darussalam","Robertton",3.059899188191806
2017,"Canada","East Debra",3.0770598559832663
2021,"Comoros","East Jennastad",3.086066858811587
2011,"Ecuador","South Jerryburgh",3.0923285537989176
2020,"Bosnia and Herzegovina","Kristenstad",3.1223393418984724
2019,"Northern Mariana Islands","East Brianberg",3.140181720462998
2006,"Seychelles","Port Joseph",3.155594092008729
2005,"Sweden","West John",3.163900846841472
2015,"Montserrat","Watkinsside",3.206164434666081
2022,"Greece","Port Jessica",3.2086791613983423
2016,"Antarctica (the territory South of 60 deg S)","Lake Thomasport",3.243281951037724
2015,"El Salvador","Paynefurt",3.2461723362851247
2013,"Bahamas","Higginsburgh",3.260036248179954
2020,"Honduras","East Alexa",3.265587046886642
2016,"Belgium","New Morgan",3.266338475387509
2005,"Niue","Torresfort",3.271562392312033
2004,"Latvia","East Sarahview",3.315728020319797
2012,"Nicaragua","North Christinaport",3.319378149648045
2012,"Macao","North Robertland",3.322263973897865
2022,"Finland","New Jennifershire",3.3345338265747926
2008,"Barbados","Ronnieton",3.334803370313222
2017,"Uruguay","North Holly",3.33665193258339
2002,"France","Aaronberg",3.3379661628485824
2002,"Georgia","Wallborough",3.341254427657492
2011,"Netherlands Antilles","Jacksonhaven",3.3424586601084605
2007,"Cook Islands","Toddfurt",3.347868407125043
2013,"Korea","Priceville",3.3479926261658743
2000,"Nicaragua","East Katherine",3.3532534636214306
2007,"Malta","Lake Williamfort",3.399212245994987
2002,"Heard Island and McDonald Islands","South James",3.4019079170406474
2009,"Lebanon","Andrewsport",3.4027668321828908
2017,"Mauritius","North Dawn",3.4191084515981296
2017,"Brazil","Andreamouth",3.423296986822677
2009,"Paraguay","East Karen",3.4283481687656603
2011,"Czech Republic","Brownview",3.4370950022076907
2022,"Guinea-Bissau","Hudsonmouth",3.4575879550162503
2020,"Cocos (Keeling) Islands","Harpermouth",3.4614587382369444
2003,"Guinea-Bissau","Perezland",3.4630154672738667
2009,"Reunion","Dunnville",3.5106851427908925
2010,"Puerto Rico","West Andrew",3.5130183959452776
2005,"Nigeria","Nathanview",3.5324928112944742
2012,"Puerto Rico","Meganville",3.5544435101465437
2013,"Czech Republic","Tanyastad",3.5544755702174413
2019,"Micronesia","South Jasminemouth",3.574889463880815
2017,"Bolivia","Toddfurt",3.5847979837517308
2010,"Malta","Heatherhaven",3.5894655004455323
2016,"Bahrain","Simpsonborough",3.614161943047456
2008,"Sudan","North Jeffreyview",3.615722228842744
2014,"Wallis and Futuna","South Nathaniel",3.640897572209423
2013,"French Polynesia","Stuartbury",3.6483520179855233
2019,"Cyprus","North Elizabeth",3.670321032945123
2004,"Congo","Lake Kelly",3.676970389457879
2018,"France","South Megan",3.6774334765581007
2011,"Cote d'Ivoire","Thomasbury",3.685980891153207
2002,"Angola","Port Elizabethside",3.733339199024732
2019,"Niue","Rogersmouth",3.780282927403833
2012,"Kiribati","New Jacobfort",3.782628096073337
2014,"Bulgaria","Lake Paige",3.801011749878569
2014,"Andorra","West Jessica",3.814046857771825
2008,"Puerto Rico","North Michaelside",3.8202038488949097
2001,"Thailand","Port Steven",3.850595322676576
2020,"Western Sahara","Melissamouth",3.854283747062426
2007,"Micronesia","Angelaside",3.855316752593718
2017,"Jordan","Coxhaven",3.858426275234361
2008,"Nigeria","Heathville",3.879216169082289
2012,"Kenya","South Jonathanberg",3.8796892631553392
2004,"British Virgin Islands","Amandatown",3.9115896386564986
2006,"Iran","Laurenstad",3.9693001060197353
2008,"Sweden","Maryside",3.9882191274800416
2002,"Djibouti","Allenland",4.002741523650489
2019,"Saint Pierre and Miquelon","North Billy",4.01502716969916
2019,"Honduras","South Kimberlyside",4.024315367286746
2012,"Martinique","South Gregoryland",4.031880109098507
2006,"Lebanon","Amberbury",4.033249245601677
2015,"Canada","Willisbury",4.040703686029035
2011,"Moldova","Lake Joseph",4.069700662882802
2018,"Cape Verde","Port Danielle",4.0850214449766
2004,"Saint Barthelemy","Port James",4.090483001974443
2006,"Dominica","Frederickchester",4.0945174213001145
2009,"Christmas Island","Monicaland",4.103985513886322
2002,"Argentina","Alexandermouth",4.110646377594995
2005,"Senegal","North Erictown",4.127532535045986
2015,"Greece","Marissatown",4.137519295835523
2000,"Israel","Lawsonmouth",4.146220146985657
2011,"Tajikistan","East Judith",4.155941546541698
2022,"Lao People's Democratic Republic","Port Tammyland",4.161161375792299
2013,"Burundi","Jonathanmouth",4.176378663168445
2020,"Russian Federation","Jacksonville",4.2036329378204895
2012,"Montenegro","South Heather",4.227674099962197
2011,"Russian Federation","New Joan",4.230854091686487
2007,"Marshall Islands","Zacharyton",4.2324233680191785
2021,"United States of America","Davisburgh",4.246244056043691
2010,"Venezuela","North Aaron",4.27532722551841
2014,"Kazakhstan","Richardsfort",4.2867434353771605
2004,"Sweden","Port Crystalbury",4.287024429377507
2014,"Gibraltar","Coleborough",4.287665173334343
2016,"Martinique","Andersonton",4.292449267922538
2012,"Niger","New Donald",4.295882674158358
2006,"Morocco","North Matthewchester",4.299496328417629
2019,"Papua New Guinea","Garciachester",4.303783955282037
2000,"Heard Island and McDonald Islands","Anthonychester",4.3159017445289045
2022,"Isle of Man","New Adam",4.320343772183821
2017,"Bhutan","Lake Brandonchester",4.321320766807768
2022,"Russian Federation","Annefort",4.321554992976506
2008,"Ghana","West Michellefurt",4.341344009331638
2009,"Ecuador","East Theresa",4.352639791137358
2009,"Tonga","East Alexandria",4.353432308378258
2011,"Mayotte","Deborahshire",4.362784261307717
2001,"French Guiana","Brownville",4.373045666178999
2008,"Norfolk Island","Beasleyton",4.378515639290903
2009,"New Caledonia","Port Tyler",4.3786940794521945
2004,"Russian Federation","Port Dwayne",4.381119234063657
2021,"Mauritania","North Mary",4.387217356469886
2009,"Singapore","Bellhaven",4.397608699504174
2011,"Italy","Averyview",4.417723616422176
2008,"Mongolia","Port Vickie",4.429261242095716
2012,"Madagascar","Port Martin",4.431684740661968
2002,"Western Sahara","South Jamesburgh",4.444347278849891
2010,"Chad","Charlesshire",4.447695432071496
2001,"Greenland","Sanfordland",4.452005786106994
2010,"Kenya","Tinastad",4.4536141479889935
2021,"Saint Vincent and the Grenadines","Sandrahaven",4.468366062887286
2021,"Zambia","South Josephville",4.521395256312044
2002,"Guadeloupe","New Shellyville",4.538635490474219
2016,"Western Sahara","Ambermouth",4.562891971309679
2019,"Pitcairn Islands","Georgeshire",4.574945738241198
2017,"Macao","Knightland",4.577301077404927
2021,"Croatia","Garciatown",4.582393786328298
2001,"Kenya","North Janetberg",4.583677459343605
2001,"Panama","Mariemouth",4.5857842333302585
2012,"Malta","South Joseph",4.590621862943289
2021,"Ukraine","East David",4.609725192013725
2017,"Antigua and Barbuda","South Kelseychester",4.618636959127875
2020,"Malawi","Port Jamestown",4.619660366430745
2013,"Samoa","Paulport",4.633501840080667
2019,"Sao Tome and Principe","Palmerborough",4.634791760578782
2001,"Montserrat","North Bobby",4.646149177987469
2019,"Cameroon","Smithborough",4.646850757098453
2002,"Slovakia (Slovak Republic)","Port Donald",4.647493234008082
2001,"Namibia","Kevinhaven",4.659754242703695
2019,"Guinea-Bissau","Donaldfurt",4.6739008351396
2006,"Rwanda","West Davidborough",4.701866664893018
2022,"Paraguay","New Tammie",4.720827891286827
2007,"Guernsey","Port Susan",4.743765895779594
2021,"Sweden","Davidmouth",4.744456712583755
2002,"Czech Republic","Port Janet",4.745809373063292
2018,"Somalia","New Elizabeth",4.757024266447174
2005,"Equatorial Guinea","South Jerrymouth",4.7596594110705714
2005,"Saint Lucia","Port Gregorystad",4.761815926388369
2008,"Lebanon","Jacktown",4.763487912325736
2002,"Saint Martin","North William",4.772258156476072
2001,"New Caledonia","North Pedro",4.805883878661743
2008,"Malawi","Gonzalezfurt",4.847956698932165
2009,"Honduras","North Rebekah",4.849709423807703
2001,"Cayman Islands","Williamtown",4.8524107154059415
2014,"Belarus","Vickieside",4.862027432972404
2022,"Botswana","Lindaland",4.872397633491743
2022,"Azerbaijan","Lake Jesusport",4.876130659907895
2007,"Tunisia","South Andrew",4.881068247553221
2017,"Cook Islands","Jessicachester",4.918998410898656
2022,"North Macedonia","New Jennifer",4.922610583937215
2000,"Kenya","Nathanstad",4.934935710032418
2005,"Czech Republic","North Melanie",4.938421063343301
2001,"Saint Vincent and the Grenadines","Jonathanville",4.968709080191069
2008,"Romania","East Destiny",4.977196668012407
2013,"Christmas Island","New Colin",5.0024671541256005
2006,"Heard Island and McDonald Islands","New Tiffany",5.007704143272496
2016,"French Guiana","Heatherview",5.014224924472311
2011,"Uzbekistan","New Monicaland",5.019283058207902
2021,"Djibouti","Vaughnland",5.0267772505741775
2022,"Nepal","Brianhaven",5.028985327023272
2004,"Jamaica","Andersonfort",5.0354091060387685
2012,"Puerto Rico","Lake Benjamin",5.038368403054239
2015,"Canada","Kimberlystad",5.0569623700675965
2009,"Kiribati","Lake Justinshire",5.067893475927187
2003,"Ecuador","Barryland",5.068660467309483
2011,"Sudan","Nathanville",5.074486111427612
2010,"Guernsey","Hayesbury",5.082288825083314
2002,"Myanmar","Lake Amanda",5.086451965601457
2020,"Netherlands Antilles","Thompsonshire",5.094773649672934
2019,"Hong Kong","Richardmouth",5.094862503885189
2011,"Tonga","Englishland",5.106959477888651
2000,"Pakistan","Cartermouth",5.115945411805112
2000,"Bhutan","Schultzport",5.132567291398749
2000,"Botswana","Port Andrewhaven",5.135018980767125
2015,"Saint Lucia","Lake Amytown",5.138307524576247
2003,"Portugal","North Betty",5.141868417160866
2000,"Lao People's Democratic Republic","New Justin",5.145654101557085
2009,"Chad","Johnsonberg",5.172685129586085
2000,"Vietnam","South David",5.19334125444082
2015,"Palestinian Territory","Carolinefort",5.197110636053948
2007,"Germany","Jenniferstad",5.200302145208857
2013,"Argentina","South Amy",5.200403446174617
2020,"Fiji","Lake Christinamouth",5.204816528782963
2008,"Nigeria","Braunshire",5.216197426437629
2019,"Austria","North Michael",5.216770669338788
2003,"Taiwan","New John",5.222793316029861
2005,"Cape Verde","Lake Carmen",5.225734356695333
2009,"New Zealand","New Marymouth",5.254748239888308
2011,"Comoros","Lake Robert",5.270268654116439
2006,"Guadeloupe","North Michaelfort",5.273604073639926
2019,"Cambodia","Cooperhaven",5.283591861650095
2021,"Botswana","Brianborough",5.309375586976383
2004,"Guyana","South Raymond",5.312763658369423
2003,"Indonesia","New Caitlynbury",5.317194865184105
2021,"American Samoa","Joshuahaven",5.329876724650029
2000,"Comoros","West Davidberg",5.336165671243487
2011,"France","Lake Daniel",5.363022091602132
2011,"Cote d'Ivoire","West Shawn",5.368133156353416
2002,"Colombia","North Andres",5.381003492784664
2005,"Qatar","East Brookebury",5.382450693112606
2006,"Taiwan","Lake Shannon",5.406052952522645
2013,"Morocco","Lake Ann",5.406687304919366
2015,"Qatar","West Timothyborough",5.412838066042902
2018,"Bhutan","Donnafurt",5.414505961920013
2014,"Liberia","North Billystad",5.432293593678683
2011,"Australia","Mclaughlinshire",5.43275135244431
2000,"Pitcairn Islands","Martinfort",5.435318289129098
2003,"Guinea-Bissau","Smithmouth",5.440640562079901
2013,"Heard Island and McDonald Islands","East Jessica",5.447377683498256
2010,"British Virgin Islands","Richardfurt",5.471794773702676
2000,"Romania","North Joseph",5.496451433909943
2012,"Korea","Nathanielchester",5.508582105485182
2002,"Mozambique","Lake Michaelshire",5.537496443766187
2011,"Gibraltar","New Jessica",5.551770873051154
2010,"French Guiana","Port Valeriechester",5.562723112746815
2003,"Dominica","Sotoshire",5.56315624527114
2017,"Czech Republic","Cherylland",5.563904392372887
2021,"Moldova","Ronaldburgh",5.5669510644431375
2012,"Rwanda","South Maria",5.580839075034627
2018,"Korea","Lake Gabrielleberg",5.581599677793703
2001,"Faroe Islands","Lorettafurt",5.583400015001272
2002,"Brazil","Michaelborough",5.589188581161264
2014,"Hong Kong","North Chadmouth",5.593949746311921
2005,"Zambia","Braymouth",5.595614310479158
2022,"Costa Rica","East Brendan",5.598936209498251
