"year","country","location","temperature"
2008,"Mauritius","North Kimberly",2.832739251908301
2017,"Montserrat","Diazstad",2.8558835463538816
2014,"Mongolia","Castillotown",2.859340623357
2020,"Saint Martin","North Teresamouth",2.8604771739228863
2001,"Central African Republic","Wilsonbury",2.862981730600989
2021,"Greenland","Jacksonbury",2.8768333154915275
2007,"Micronesia","Angelaside",2.8799725965278444
2006,"Belgium","Torresland",2.893357779971579
2013,"Palestinian Territory","New Pamela",2.938635248104786
2006,"Sweden","Halltown",2.949050924150441
2008,"Azerbaijan","East Sarah",2.9745498289221395
2005,"Honduras","Wattsfurt",3.0677994656834144
2009,"Jamaica","Coxhaven",3.0775527275639227
2003,"United States Virgin Islands","Port Carrieberg",3.0884514893647914
2017,"Congo","Smithfort",3.097589123145985
2005,"Ecuador","West Marytown",3.107018660329384
2010,"Albania","Ericaberg",3.128418552338207
2022,"Guyana","Port Gregoryfort",3.1402966002269395
2011,"Latvia","Brianport",3.147689052145644
2002,"Paraguay","Lopezhaven",3.1583928857306827
2014,"South Georgia and the South Sandwich Islands","Schneiderchester",3.1586706721610085
2016,"Nicaragua","Emilystad",3.1811196641575954
2009,"Germany","Whiteview",3.225470975269058
2003,"Tunisia","East Thomas",3.228859870280843
2000,"Colombia","Charlesview",3.2824790198866296
2005,"Libyan Arab Jamahiriya","Bradleystad",3.2955880642595243
2004,"Svalbard & Jan Mayen Islands","South Anneview",3.307332178878344
2003,"French Guiana","East Cynthia",3.3295021657129737
2002,"Malta","Dianafort",3.3322321146050804
2010,"Sudan","East Stephenstad",3.3348368842790617
2003,"Suriname","New Zacharystad",3.3356863681630635
2002,"New Caledonia","Leslieside",3.351307278679471
2016,"Saint Helena","Maldonadoburgh",3.362480953665406
2011,"Slovakia (Slovak Republic)","Elizabethton",3.3774954287806995
2011,"Syrian Arab Republic","North Jamesbury",3.3926546873961456
2016,"Grenada","Hernandezmouth",3.4024684775787417
2011,"Burundi","Douglasview",3.4131531464018305
2021,"Nepal","Robertbury",3.417179865497758
2020,"Hungary","Jameshaven",3.421575813419482
2000,"Congo","Lake Michael",3.497067975105983
2007,"Cape Verde","Michaelmouth",3.5221418561328264
2012,"Antigua and Barbuda","Fowlerhaven",3.5223071774547403
2016,"Montserrat","Montgomeryport",3.546890744694572
2021,"Nauru","North Brandy",3.564408181160717
2006,"Ecuador","South Brandonshire",3.567856325416173
2010,"Netherlands","New Spencerberg",3.572876296902251
2013,"Madagascar","Robinsonport",3.5877645181435387
2015,"Bouvet Island (Bouvetoya)","West Nathan",3.6179209922172113
2005,"Madagascar","Petersonville",3.662514097843612
2013,"Colombia","Lake Jeffreyland",3.663549874341758
2006,"Belarus","West Michael",3.664331028411299
2012,"Belize","Lake Heather",3.670714145677712
2019,"Iran","Hamptonfurt",3.6819431431192697
2021,"Andorra","South John",3.6923152454527184
2002,"Cambodia","Jodifurt",3.707652001541673
2018,"Niger","Stephaniefort",3.709620866147967
2011,"Congo","Johnsonstad",3.7752764703642185
2004,"Tonga","Tinaview",3.780428563590963
2012,"Jersey","Lake William",3.796982642118092
2012,"Malta","Gonzalezburgh",3.800965410369866
2000,"South Georgia and the South Sandwich Islands","Walkerchester",3.8231622568527808
2006,"Bermuda","Lake Colleen",3.827674013293228
2009,"Pitcairn Islands","Edwardmouth",3.829305300101604
2006,"Taiwan","Lake Shannon",3.83689793142433
2008,"Korea","North Kelseyport",3.8486043942310033
2015,"Sri Lanka","South Robertview",3.8752625137925456
2005,"Pakistan","East Jessica",3.9065563785034776
2000,"Iceland","North Ericchester",3.940120976025464
2016,"United States Minor Outlying Islands","Lake Melissamouth",3.957698053943318
2000,"Sweden","Lake Travisbury",3.958186906694785
2015,"Korea","East Aaron",3.9606537639778097
2003,"Denmark","Jennifermouth",3.9803765180730704
2014,"Bosnia and Herzegovina","Smithfurt",3.985352497333541
2019,"Singapore","Port Julia",4.003890345992133
2000,"Finland","Stevenfort",4.012817781227369
2022,"Swaziland","New Patrickborough",4.021254954299756
2012,"Namibia","Pageside",4.045143912265456
2021,"Vanuatu","East Matthew",4.069525293415218
2003,"Zambia","Coffeyton",4.075618132157768
2000,"Canada","Ellisshire",4.096717213329942
2011,"Mexico","Lopezfort",4.110725840224925
2002,"Chad","Snyderchester",4.111794263675373
2005,"Kyrgyz Republic","West Michael",4.137563925267219
2004,"Afghanistan","East Thomasburgh",4.149407583885802
2013,"New Zealand","South Barbaraland",4.187409552425281
2010,"Malta","Gonzalesfurt",4.19053584832576
2015,"Norfolk Island","Changberg",4.208420749280224
2016,"Belarus","West Gregory",4.225281774802109
2015,"Martinique","Lake Clintonshire",4.227051753914797
2003,"Nauru","North Tim",4.250208245041513
2015,"Kyrgyz Republic","North Jessica",4.252250027575652
2019,"Ethiopia","East Tyler",4.255459413874403
2020,"Lao People's Democratic Republic","Brianfurt",4.259711560282543
2018,"Netherlands Antilles","Vasquezmouth",4.270237749699126
2014,"Jersey","Port Mary",4.2722114243020375
2007,"Mali","Gibsonberg",4.274990184309095
2001,"Micronesia","Port Courtney",4.277491024769509
2000,"Slovakia (Slovak Republic)","North Brian",4.298199398865226
2011,"Dominica","West Natalie",4.311711993422771
2014,"Turkmenistan","New Cindy",4.349121370553693
2017,"Sudan","South Aprilfort",4.351566821339002
2019,"Gibraltar","Port Lindamouth",4.360519182367987
2022,"Maldives","Philliphaven",4.369046290905928
2007,"Somalia","Teresamouth",4.374898820379567
2010,"Syrian Arab Republic","Martinside",4.394221718712291
2000,"Honduras","East Vincent",4.394330576130388
2004,"Kyrgyz Republic","West James",4.397635306114635
2011,"Malawi","New Rebecca",4.402126908098346
2021,"Macao","South Shawnshire",4.405759684046986
2014,"United States of America","South Joyview",4.418529049142943
2015,"Honduras","Stewartfurt",4.4344492090136
2000,"Eritrea","West Whitneyberg",4.435225964272396
2004,"Georgia","Johnsonburgh",4.437877433660402
2021,"Suriname","East Pamelafurt",4.438031751308706
2016,"Korea","North Kimberly",4.441170471621081
2006,"Lebanon","South Ryan",4.452505127761736
2008,"Bahamas","West Brianport",4.454611589412389
2015,"Nepal","West Carlos",4.470191145432414
2012,"France","Martinfort",4.474034205366642
2022,"Nicaragua","East Kristinaview",4.483023440947436
2002,"Andorra","South Lauraport",4.499491116565039
2005,"Costa Rica","Adamsville",4.505686047895672
2003,"Antarctica (the territory South of 60 deg S)","Mariabury",4.506455529245679
2010,"Sweden","North Ronald",4.51120374817134
2022,"Gibraltar","West Toddchester",4.516346283175274
2006,"Palestinian Territory","Lake Kevin",4.518124860249513
2003,"Sudan","Robertfort",4.544047093174516
2014,"Estonia","South Lindamouth",4.564571514989515
2015,"Vanuatu","Katherineshire",4.565699253996556
2010,"Thailand","Melissamouth",4.570606466854933
2009,"French Southern Territories","Hartmanburgh",4.5752533657271925
2004,"Sri Lanka","Thomasport",4.586831556251807
2001,"Timor-Leste","South Edwardland",4.594439732938277
2017,"Grenada","North Kellitown",4.603363849260392
2012,"Liberia","South Michael",4.60585951222826
2002,"Botswana","South Nancy",4.627777304545294
2012,"Antarctica (the territory South of 60 deg S)","South Anita",4.642315102427899
2002,"Mali","Lake Robertofort",4.646762308430185
2008,"Wallis and Futuna","Lake Jasmine",4.664375467470975
2006,"Montenegro","Marymouth",4.6838392113343446
2020,"Ghana","Gutierreztown",4.698457588027921
2015,"Bahamas","South Erinland",4.70411364054393
2013,"Angola","South Deanna",4.722605584240746
2005,"Tokelau","North Christopherchester",4.760580725608122
2021,"Yemen","South Paula",4.775851505291687
2002,"Uruguay","Toddland",4.802690727574348
2004,"Germany","West Laurie",4.807168121568175
2021,"Zambia","East Roger",4.82298562913912
2021,"Georgia","Port Destinyhaven",4.827492946911837
2020,"Faroe Islands","Port Carolyn",4.828975491116745
2017,"Finland","Diamondberg",4.848428227770372
2009,"Burkina Faso","Shawnside",4.850252340352771
2013,"Sudan","Port Jesse",4.853588435865566
2008,"Qatar","Griffinburgh",4.856021028066969
2018,"Myanmar","Ambertown",4.858832408629903
2012,"Angola","Mcmillanport",4.870275653317632
2007,"Liberia","Farmershire",4.873488563359601
2012,"Montenegro","South Heather",4.901907146950569
2005,"Congo","Cervantesfort",4.902903021741963
2017,"Marshall Islands","Seanland",4.914815983055274
2009,"Peru","North Joshualand",4.919213239405181
2020,"Congo","New Melissaborough",4.919807029172814
2018,"Liberia","Port Jessicabury",4.919953173628002
2003,"Faroe Islands","West Walter",4.931790362760058
2010,"Guinea-Bissau","Lake Johnmouth",4.9402382318566325
2002,"Serbia","Lake Brent",4.940418979376773
2018,"Cyprus","New Brenda",4.941124374905668
2020,"Tuvalu","Julieborough",4.963689035434449
2020,"Tajikistan","Desireemouth",4.981031041393539
2019,"Equatorial Guinea","Lake Barbaraborough",4.98608295196653
2010,"Vanuatu","South Adam",5.004776165644266
2021,"Pitcairn Islands","Thompsonfurt",5.006415973642124
2010,"China","Geraldmouth",5.012568727062245
2010,"Moldova","South Madeline",5.012693816931531
2019,"Zambia","West Ashley",5.020545197751483
2009,"Chad","Lake Crystalburgh",5.026710530701882
2022,"Poland","Campbellhaven",5.038552663583475
2020,"Philippines","Justinborough",5.040167709098544
2021,"Pakistan","Lake Jacqueline",5.046433128108015
2006,"Tanzania","North Andreamouth",5.06121952847605
2009,"Congo","Bethton",5.068272090650106
2016,"Comoros","Lake Aliciaburgh",5.083799967494292
2001,"United Arab Emirates","Calvinland",5.087578404964537
2018,"Portugal","Meyerville",5.102260044451551
2000,"Philippines","North Codyfort",5.111070045671202
2018,"Northern Mariana Islands","East Kennethport",5.113927135145721
2011,"Benin","New Robertville",5.121482300316776
2012,"Zambia","South Amychester",5.135210298276352
2008,"Liechtenstein","Lake Bradley",5.136483631457667
2007,"Tokelau","Olsonfurt",5.137739295785185
2007,"Macao","Patriciaside",5.144718563288766
2010,"French Guiana","West Graceville",5.155146152391961
2019,"Palestinian Territory","West Christineton",5.155824734783112
2020,"Monaco","Baileytown",5.198241633363399
2009,"Vietnam","Moorebury",5.198461842989776
2016,"Nepal","New Melaniehaven",5.213326133406973
2007,"Bolivia","West Angelica",5.213663412586278
2009,"Netherlands Antilles","Christinaside",5.216025857162114
2011,"Mongolia","North Tammyburgh",5.2283061422810135
2009,"Mauritania","Port Christine",5.233077736748955
2015,"Mauritius","Knoxtown",5.244715447970728
2007,"Cameroon","Lake David",5.24657069594034
2005,"Tokelau","Wilsonhaven",5.2498735369902665
2006,"Solomon Islands","Port Judychester",5.2522463355176345
2021,"Togo","Schmidtfort",5.261611185137888
2000,"Korea","West Roberthaven",5.2698309649415584
2016,"Saint Helena","Bryanland",5.270368763345946
2009,"Mongolia","Reedburgh",5.272063192435985
2022,"Montenegro","Laraton",5.286962833538846
2020,"United States Minor Outlying Islands","West Stephanie",5.297028648897864
2017,"Indonesia","South Christopher",5.314026739730309
2006,"Nepal","North Cory",5.321296097146247
2000,"Cote d'Ivoire","Jenniferfurt",5.332163246654227
2013,"Mauritius","North Cynthia",5.343315863547197
2002,"Liberia","Monroemouth",5.355363736689817
2019,"Maldives","West Kylefort",5.359217687709743
2008,"Serbia","Walkerbury",5.369660494921362
2004,"Guam","West Virginia",5.390983620828612
2021,"Niger","Christianchester",5.40132004095811
2011,"France","Lake Daniel",5.415464360652555
2002,"Lesotho","Tylerport",5.422369380901204
2004,"Suriname","Richardton",5.423707909893519
2015,"Norway","Victorland",5.427887918465318
2003,"Equatorial Guinea","Port Diane",5.431050067726636
2016,"Iran","Kellybury",5.432480186603543
2016,"South Africa","Michealstad",5.43884088171524
2010,"Tanzania","Danielfurt",5.476462728760261
2008,"Jersey","Lake Johnville",5.486497493806937
2017,"Pakistan","Kathleenhaven",5.488089133918464
2014,"Niue","Port Maryfort",5.5052256759305855
2022,"Mauritania","West Michelle",5.508045705024831
2003,"Burundi","Robertville",5.512017791992314
2012,"Thailand","North Jamestown",5.514446959259425
2004,"Poland","Lake Amy",5.515930527259323
2018,"French Polynesia","Villanuevabury",5.518655782342265
2000,"Namibia","North Ashleyburgh",5.522771700445441
2010,"Austria","North Amandaton",5.523889710195997
2020,"Netherlands","Stevenhaven",5.524993994011805
2012,"Tuvalu","North Kellymouth",5.539663689336525
2011,"Haiti","West Nicholas",5.5468684554791
2005,"Myanmar","Lake Sheliaton",5.5482768163555125
2017,"Cameroon","Thompsonmouth",5.550617519534626
2011,"Latvia","New Miranda",5.564327671585225
2022,"Somalia","South James",5.567246130754878
2000,"Senegal","East Robert",5.5725086998857485
2021,"Luxembourg","Christineton",5.573081886863562
2008,"Poland","West Jonathanhaven",5.574449079898107
2013,"Guadeloupe","North Glenn",5.577257764050255
2009,"Brazil","Thomasville",5.608528551197891
2005,"Hong Kong","Lake Audreyville",5.611527737331759
2008,"Lithuania","Lake Laurahaven",5.624732444805826
2002,"Iraq","New Kathleen",5.626416375605029
2014,"Swaziland","Atkinsonside",5.635917164556648
2003,"Norfolk Island","Milesmouth",5.640368332594761
2002,"Heard Island and McDonald Islands","East Kristin",5.6545084046631615
2005,"United Kingdom","New Martinland",5.671557092643116
2020,"Ukraine","Josephfurt",5.688934785570208
2018,"Finland","Jamesberg",5.69490595357116
2001,"Malawi","Heatherside",5.7005720174161
2022,"Lithuania","Rodriguezstad",5.701576935433113
2004,"Gambia","Michaelchester",5.702716792429573
2010,"Slovenia","South Jacob",5.706956201264438
2015,"Somalia","North Amyburgh",5.708128017253699
2014,"Haiti","Sarafort",5.710650092112383
2000,"Algeria","Veronicabury",5.710666585126432
2011,"Vietnam","Port Paulfurt",5.717211924509673
2014,"Belize","South Rickyberg",5.730881634346497
2021,"Malawi","South Meredithview",5.731019961163922
2007,"Reunion","Valentineberg",5.737009736738887
2001,"Argentina","Katiestad",5.742339420431829
2001,"Trinidad and Tobago","Patriciashire",5.74326970861202
2015,"Palestinian Territory","Port David",5.744728897607789
2020,"Albania","Port Patricia",5.747861321800327
2019,"Montserrat","Guzmanmouth",5.749382084796814
2008,"Maldives","Hendersonchester",5.750018839295198
2003,"Vanuatu","Ericafurt",5.762981411110452
2020,"Chad","Lake Jasonfort",5.76670857477297
2018,"Malaysia","Lake Dianeville",5.767575940666568
2007,"South Africa","Alexanderfurt",5.769822411839984
2019,"Greenland","Kimberlyfurt",5.775406871171892
2018,"Palestinian Territory","Donaldhaven",5.775535811655603
2009,"Tonga","East Alexandria",5.776960694253763
2007,"Algeria","Michaelfurt",5.783653291407317
2022,"Saint Vincent and the Grenadines","East Kaitlinfurt",5.790821926573935
2008,"Tunisia","Johnsonstad",5.795716047199949
2002,"Poland","South Alvin",5.798536064084434
2009,"Croatia","Allenland",5.804794849480997
2006,"Tonga","West Katieborough",5.807570545079786
2007,"Honduras","Paigeberg",5.815634196421941
2002,"Cambodia","Jeremyport",5.843537871786555
2018,"Pakistan","Cynthiaville",5.854614475922874
2010,"Venezuela","New Abigailburgh",5.8549048787877
2013,"Serbia","Annahaven",5.86596806532906
2016,"Madagascar","Dunnville",5.870577506249395
2000,"Sweden","Lake Amberhaven",5.873453043533839
2003,"Cyprus","South Markport",5.879162497357553
2011,"Egypt","West Aaronland",5.881330810450683
2008,"Peru","West Thomasland",5.883889966181098
2014,"Serbia","North Dawnton",5.886177587841633
2003,"Fiji","Amyberg",5.886559131338293
2020,"Israel","New Teresa",5.887525337705378
2022,"Nigeria","South Bryanfurt",5.894030401221128
2020,"Paraguay","West Joel",5.895005609169632
2010,"Finland","New Maria",5.896631122086431
2005,"Russian Federation","Hernandezchester",5.896682932583378
2018,"Georgia","Lake Faith",5.896847705457464
2016,"Thailand","Lake Brandon",5.911477729806512
2017,"Bosnia and Herzegovina","Shannonbury",5.918694913437594
2019,"Hong Kong","Richardmouth",5.950954890084855
2015,"Chile","Bushport",5.958250814779429
2006,"Andorra","Paulside",5.962919505968534
2016,"Nigeria","Smithshire",5.965126043366828
2014,"Tonga","Lanceport",5.969688842356662
2011,"Equatorial Guinea","East Andrewmouth",5.97123010530675
2001,"Nigeria","Lake Jessica",5.987656252733061
2001,"Senegal","Gomezfort",5.988928480217716
2018,"Belize","New Carrie",5.990460396847315
2022,"Tokelau","New Matthew",5.9954279741155965
2007,"Ethiopia","Rhodesmouth",6.008925212023634
2001,"Chile","Reyesshire",6.012380942031783
2012,"British Indian Ocean Territory (Chagos Archipelago)","North Elizabeth",6.014847711296113
2015,"Mexico","New Pamela",6.016506075725431
2018,"Mayotte","East Zachary",6.029698100705211
2013,"Aruba","Port Shelby",6.039601663641513
2014,"Korea","Pamelaborough",6.043120837753133
2007,"Hungary","Staceyburgh",6.054024229247993
2009,"Christmas Island","Lake Mark",6.056160149446585
2017,"Montserrat","Robertville",6.061193028577019
2014,"Iran","Gilbertstad",6.064688323056508
2022,"Sierra Leone","North Brittanyfort",6.066318941139446
2005,"Yemen","Lake Thomastown",6.070772070835556
2003,"Isle of Man","Amyhaven",6.083816102824512
2003,"French Southern Territories","West John",6.085137653389927
2009,"Kyrgyz Republic","North David",6.094756674617475
2000,"Fiji","West Jillton",6.095003072400665
2009,"Ecuador","Williamview",6.098330614408878
2017,"Japan","Kellyfurt",6.106062808653391
2005,"Sweden","Turnerton",6.127789982882488
2007,"Sweden","East Daniel",6.128042129992153
2008,"Nigeria","Braunshire",6.130072916872596
2013,"Holy See (Vatican City State)","Robertstad",6.135750580160929
2015,"Micronesia","Lake Kathryn",6.137658896740408
2011,"Somalia","Sueland",6.140761192992503
2008,"Dominica","Bakershire",6.143723866742349
2004,"Czech Republic","Johnberg",6.152658131532467
2010,"Saint Vincent and the Grenadines","Steventown",6.153299777675104
2019,"Northern Mariana Islands","East Brianberg",6.155238801144643
2001,"Heard Island and McDonald Islands","Williamton",6.1584270106943855
2003,"Tonga","Shannonhaven",6.174945906976268
2003,"Somalia","North Jason",6.175228609182787
2022,"Mexico","Tamaraview",6.179514402044248
2001,"Guernsey","Smithhaven",6.1818820107629495
2003,"Guernsey","Meganport",6.184536167995418
2009,"Dominican Republic","North Anthony",6.191702199745578
2019,"Israel","Mistyburgh",6.195664632629649
2021,"Nigeria","South Nicoleborough",6.200344867589646
2013,"Pakistan","Erinberg",6.207266377654044
2018,"Togo","Lake Joshua",6.211556737285438
2015,"Taiwan","Callahanside",6.212111019117744
2002,"Iraq","West Jocelynmouth",6.216489851715208
2006,"Costa Rica","West Courtney",6.225564264804376
2000,"Qatar","Brownborough",6.2285817827098295
2001,"Indonesia","Ianfort",6.228760610540672
2000,"Saint Helena","South Nathan",6.229326002700251
2004,"Micronesia","East Olivia",6.229850990304529
2009,"Portugal","North Nancy",6.233377180903766
2004,"Sao Tome and Principe","Zacharytown",6.237047352727471
2014,"Brunei Darussalam","North Wendy",6.240136950168072
2017,"Venezuela","Sherylborough",6.250142482436855
2022,"Guernsey","North Kennethmouth",6.253095096423163
2015,"Burundi","East Charlene",6.255723464854121
2008,"Barbados","Ronnieton",6.261089858854739
2014,"French Polynesia","New Molly",6.262768039817573
2002,"Cyprus","Howellland",6.26318209447904
2002,"Senegal","North Melissaland",6.286942656574382
2015,"United Kingdom","Lake Michael",6.287537523907099
2005,"San Marino","East Lisaland",6.290982432034008
2020,"Haiti","Murraybury",6.315091608317694
2021,"Croatia","Garciatown",6.315798805669692
2010,"Gambia","Hudsonborough",6.3220524633726
2006,"Reunion","Port Sarahport",6.3318922418441765
2016,"Iraq","South Joshuaville",6.332099437356494
2001,"Korea","Sharpmouth",6.33556913928857
2017,"Botswana","Gibsonbury",6.34160829932258
2012,"Montenegro","South Caitlin",6.35118073831608
2007,"Nicaragua","Ramirezport",6.3587286431849
2014,"Korea","Pageport",6.360984371597546
2002,"Mayotte","South Brenda",6.370192304682481
2002,"Cocos (Keeling) Islands","Smithfurt",6.372755117680173
2005,"Swaziland","New Erica",6.379790684679186
2006,"British Virgin Islands","West Kelsey",6.3799593957963765
2014,"Heard Island and McDonald Islands","Humphreyhaven",6.382816535932264
2015,"Saint Barthelemy","Lake Eddie",6.385301998080944
2004,"Estonia","North David",6.385582131470255
2006,"Kyrgyz Republic","East Vincentmouth",6.408402038506536
2013,"Belarus","Johnsonville",6.412241251526886
2022,"Slovakia (Slovak Republic)","Sanchezburgh",6.412735536819591
2008,"Israel","New Matthew",6.413691419874292
2013,"Paraguay","East Angelaville",6.422312088824338
2001,"Trinidad and Tobago","Port Raymond",6.424200848530301
2013,"Venezuela","Port Hector",6.426559809860974
2000,"Andorra","Steventown",6.451078175226973
2016,"Martinique","Gregoryfurt",6.452693717492874
2015,"Kiribati","Santanaton",6.466185631123087
2011,"Serbia","Shawnstad",6.47793939344386
2014,"Faroe Islands","New Joshuamouth",6.47893003435734
2020,"Kenya","Josephstad",6.482940006258614
2009,"Comoros","New Kenneth",6.483000165548708
2015,"Saint Vincent and the Grenadines","Whitemouth",6.503271646255117
2010,"Lithuania","South Carrieton",6.5041109244313215
2017,"Belgium","Williamsonport",6.506018556486406
2011,"Belgium","Savannahland",6.515170031334863
2001,"Venezuela","South Brandonland",6.51852763043564
2002,"Gabon","South Anthony",6.532777972658376
2013,"Guinea-Bissau","North David",6.533686319836665
2022,"Suriname","Michelleberg",6.533937699294022
2003,"Vanuatu","Melissaville",6.554347276977987
2004,"Korea","Dayside",6.556069171128554
2018,"Congo","West Gregory",6.557977825823478
2018,"Cape Verde","Markfort",6.558292068457515
2013,"Afghanistan","East Dawnhaven",6.5853914533755
2004,"Haiti","Amyfort",6.597149703519005
2017,"Cuba","South Marc",6.603501031598029
2001,"New Zealand","North Leah",6.610675546450606
2001,"Anguilla","East Tracyport",6.613636679782699
2005,"Liberia","Port Samantha",6.621898257332139
2012,"Tonga","Solishaven",6.6237927426293
2018,"Norway","Reedbury",6.624757165994245
2008,"Barbados","Lewisland",6.629676991800308
2003,"Lesotho","Cynthiaberg",6.632459096738149
2014,"Kyrgyz Republic","Port Melissa",6.637369678387575
2014,"Monaco","West Kevinland",6.639091233486109
2001,"Ireland","Port Joshuamouth",6.63944562099768
2005,"North Macedonia","Websterport",6.640017481269634
2016,"Central African Republic","East Timothy",6.640163549816652
2015,"Australia","Lake Sandrafort",6.657579059727762
2006,"Lithuania","New Gabriela",6.663727369585896
2008,"Morocco","North Carlton",6.667749188855119
2010,"Puerto Rico","West Andrew",6.673847202147563
2022,"Albania","Kellyfort",6.674057560978694
2020,"Afghanistan","East Jacqueline",6.675644833111488
2006,"Germany","Port Johnville",6.686234378722894
2016,"Saint Lucia","Henryton",6.688085635904336
2011,"Gabon","South Richard",6.688968952473147
2015,"Romania","New George",6.6967595303539404
2011,"Chad","Colleenfurt",6.697485716733612
2011,"Montserrat","East Scott",6.704282033291271
2019,"Malta","Stevenland",6.709106039092529
2012,"Macao","North Robertland",6.710880843272886
2001,"Hong Kong","North Kimview",6.712272233473822
2007,"Libyan Arab Jamahiriya","Jeremyland",6.722059994808703
2002,"Bosnia and Herzegovina","Lake Victormouth",6.730052489840773
2002,"Ireland","West Danielborough",6.734394925240029
2017,"Haiti","Patriciaport",6.739980631210953
2013,"North Macedonia","Johnsonfurt",6.742510895915403
2002,"Tajikistan","Lake Robinburgh",6.75269110583495
2008,"Saint Helena","New Kimberly",6.760435918896159
2004,"Japan","South Brandonport",6.763297221129706
2004,"Egypt","Mileschester",6.768777652117969
2008,"Philippines","Jamesville",6.7692318462795775
2018,"India","Davidbury",6.770179658440629
2000,"Svalbard & Jan Mayen Islands","Lake Justin",6.781556766381403
2017,"Brunei Darussalam","Meganhaven",6.782482145539548
2018,"South Africa","New Yolanda",6.784305693164482
2016,"British Virgin Islands","North Rebeccamouth",6.784635011092732
2007,"Guam","Lake Richard",6.788088282676156
2005,"Liechtenstein","West Devin",6.790872043797728
