"year","country","location","wind_speed"
2013,"Norway","Douglasport",0.664341048742112
2007,"Austria","Markburgh",0.6664430473121152
2016,"Palestinian Territory","Nancymouth",0.6735525173605317
2013,"Saint Pierre and Miquelon","New Leefort",0.6762427539964699
2019,"Austria","East Jason",0.6811048978111967
2004,"Bangladesh","New John",0.6819144517626663
2022,"Switzerland","Port Jameschester",0.687362926483337
2017,"Turkmenistan","North Sean",0.6886653238412366
2020,"Palestinian Territory","Molinabury",0.6939059229940703
2015,"Malaysia","Cherryfort",0.7030995982883648
2013,"South Africa","Saraton",0.7063693647423763
2021,"Morocco","Murphyhaven",0.7158171652743572
2020,"Algeria","South Jordanport",0.7172206646223978
2019,"Comoros","Howardside",0.7176194063132191
2011,"Cook Islands","Johnsonfort",0.7240837708569092
2001,"Eritrea","West Jessicamouth",0.7271745350525993
2018,"Greenland","South Steven",0.7325764881596253
2009,"Monaco","Karenport",0.7332312423739884
2009,"Vanuatu","Garciaport",0.7358673516869696
2012,"Malta","South Joseph",0.7386158703293788
2013,"Cape Verde","Brownfort",0.7390587610960841
2019,"Pakistan","North Debraborough",0.7402920124612133
2009,"Cote d'Ivoire","South Brendaton",0.7450228433749873
2004,"Turks and Caicos Islands","East Timothyfort",0.7487073176167647
2020,"France","Briannafurt",0.7502628880477924
2008,"Croatia","Laurieport",0.7511316833720028
2018,"Egypt","Williamsland",0.758688848375294
2017,"Cameroon","Port Angela",0.77665108813465
2021,"Wallis and Futuna","Gateschester",0.7786594811924286
2009,"Cambodia","North Pedro",0.7819064375491347
2021,"El Salvador","Carlfort",0.7871665122436866
2020,"Brunei Darussalam","North Scott",0.8005625232733404
2011,"Anguilla","Port Brianberg",0.8012332355912755
2007,"Mexico","Williamsmouth",0.8077889370718849
2014,"Saint Vincent and the Grenadines","North Jacobshire",0.8127664825827385
2018,"Dominica","New Josephton",0.8154894836891913
2013,"Japan","Carolynmouth",0.8189633000910246
2014,"Turks and Caicos Islands","Nicholasmouth",0.8190167482283961
2016,"Malta","East Christopherbury",0.8255842877637087
2021,"Guyana","Murraybury",0.829900423882296
2019,"Niue","Rogersmouth",0.8369576036640403
2017,"Bangladesh","Port Susan",0.8393478883920169
2008,"North Macedonia","Owenschester",0.8527431439461608
2001,"Zimbabwe","Allenchester",0.8536341946476456
2000,"Japan","North Stephanie",0.8607464572335022
2009,"Slovakia (Slovak Republic)","South Markshire",0.8790517677328857
2000,"Turkmenistan","South Sarahfort",0.8799410686340603
2015,"Andorra","New Kendrahaven",0.8939383587180827
2014,"Poland","Samuelville",0.900569468659751
2004,"Czech Republic","Daniellemouth",0.9009545541300013
2022,"Botswana","Port Ashleyberg",0.905488816527189
2020,"Bahamas","Martinezfort",0.9152067646200246
2013,"Finland","Joelland",0.9178458361637332
2006,"Lithuania","Delacruzberg",0.9220442787031492
2012,"Philippines","Moraleshaven",0.922065859117499
2012,"Hong Kong","West Philip",0.9291019458966154
2012,"Kiribati","Milesshire",0.9320485893314578
2016,"Cook Islands","Aprilmouth",0.9341350048811314
2006,"Western Sahara","Nicholasberg",0.9415134285579552
2009,"Netherlands Antilles","North Lisachester",0.9419213352308552
2020,"El Salvador","Lake Ambermouth",0.9486350330544068
2007,"Mayotte","South Tyler",0.9502706073845067
2002,"Cape Verde","Snowview",0.951304600703584
2008,"Bhutan","Port Kristen",0.957529671050028
2013,"Poland","Lynnfort",0.9577571423942556
2000,"Israel","Hutchinsonburgh",0.963136990368979
2001,"Uganda","Ericastad",0.968535627259598
2000,"Algeria","Leslieberg",0.9689857985386574
2019,"Jamaica","North Carlaberg",0.9759377272252734
2015,"Saint Barthelemy","Lake Eddie",0.9765680638974316
2013,"Afghanistan","Port Monica",0.9835378616255552
2016,"Tajikistan","Hermanport",0.9872932845132854
2011,"Comoros","Lake Robert",0.9880438796548708
2017,"Niger","Nicholsbury",1.0052052218605056
2002,"Finland","North Michaelview",1.0064242384388855
2008,"Congo","South Cindy",1.0125215995906989
2007,"Czech Republic","East Michelle",1.0141348040367038
2014,"Azerbaijan","Port Sarahburgh",1.017693842874079
2000,"Guinea","North Angelabury",1.023867896522529
2021,"Saint Lucia","Lake Adrianafort",1.0300410691088946
2013,"Christmas Island","Howardhaven",1.0346146819593172
2007,"Turks and Caicos Islands","South Jessica",1.0359192922388127
2006,"Panama","Kempview",1.041184641249665
2000,"Saint Lucia","Hernandezview",1.0446506596499816
2012,"Afghanistan","Taylorstad",1.0461549874105749
2005,"Rwanda","Wallmouth",1.0527513385830969
2019,"Honduras","New Joelborough",1.057639562823387
2014,"Haiti","Sarafort",1.0624256641221408
2002,"New Caledonia","Leslieside",1.0680880952307514
2008,"Guernsey","Rhondatown",1.073565449091313
2013,"French Polynesia","Stuartbury",1.078207596539715
2004,"Germany","South Erik",1.0962508417946104
2015,"American Samoa","New Abigailmouth",1.102767973495411
2007,"Kazakhstan","East Larry",1.1054451997779655
2018,"Belarus","South Breanna",1.113351762719933
2011,"Angola","North Meganfurt",1.1239866187684078
2009,"Comoros","East Joshua",1.1251891460509589
2006,"Poland","North Austinland",1.1300717070212352
2020,"Tonga","Jacksonville",1.1318246435763124
2003,"Namibia","Paulmouth",1.1384102622654435
2004,"Belize","Jimshire",1.1388748744031174
2004,"Bouvet Island (Bouvetoya)","Jillland",1.1397756503243428
2011,"Antigua and Barbuda","North Jonathan",1.1477585582787495
2004,"Bermuda","Williamport",1.1495198429460618
2002,"Burundi","Port Danielview",1.1610298183072076
2017,"Norfolk Island","East Phyllis",1.1768930843301662
2015,"Cote d'Ivoire","East Karenburgh",1.1846108159916269
2017,"Macao","Knightland",1.1909928869893671
2022,"Malaysia","East Danielstad",1.201626536942485
2007,"China","Port Robertshire",1.2086463715676232
2003,"Bolivia","Nancyview",1.208896302827972
2004,"Czech Republic","Johnberg",1.2090918997468614
2004,"Egypt","Mileschester",1.209445255107372
2002,"Serbia","Port Michaelburgh",1.2102546659496394
2017,"Senegal","Robertland",1.2113856324717345
2017,"Paraguay","Jeffreyfort",1.2119510122881316
2016,"Mexico","Gibsonchester",1.217214799546107
2003,"Morocco","East Ericport",1.2210798945592127
2019,"Angola","Alexandermouth",1.2219630996586683
2005,"Denmark","Christinechester",1.227297979886005
2001,"Lesotho","Jeffreyview",1.2338729394123782
2021,"Turks and Caicos Islands","Port Angelaton",1.2363730777902535
2013,"Gambia","New Jenniferside",1.236623349873045
2006,"Mauritius","Kellerton",1.25160194518108
2013,"Netherlands Antilles","North Christina",1.251686863506002
2010,"Bermuda","Judithville",1.2621404008822834
2018,"Oman","Erinshire",1.2626946050196874
2020,"Saint Martin","Davisport",1.2638594973596706
2002,"Senegal","North Melissaland",1.2677995472786583
2019,"Angola","Thomasland",1.2717766938537434
2013,"Mauritius","North Joshuaberg",1.285437501483616
2018,"Angola","Port Latoyatown",1.288029221876541
2016,"Central African Republic","East Timothy",1.2914922798244632
2008,"Somalia","Hicksport",1.3131133702774744
2019,"Albania","New Marvinburgh",1.314083656553644
2003,"Jamaica","West Melissa",1.316215396915088
2011,"Belarus","East Elizabeth",1.3247111504149756
2016,"Solomon Islands","Frankville",1.3253418890315116
2014,"Barbados","West Josephshire",1.328486827637737
2003,"China","Lake Chasetown",1.3336946532942928
2016,"Benin","Aliciaborough",1.335861283039813
2011,"Burkina Faso","Port Jacqueline",1.348178682934853
2001,"Morocco","Mercadostad",1.348846988932184
2019,"Bangladesh","North Devin",1.350473207322156
2003,"Cape Verde","Leslieport",1.3506114802199154
2017,"Isle of Man","East Erikport",1.358021006092508
2016,"Lithuania","Lake William",1.368087050499417
2005,"Reunion","Lake Michael",1.394671865381053
2009,"Saint Martin","Elizabethton",1.4062964854481883
2015,"Nepal","Port Gerald",1.409564273170172
2022,"Saint Vincent and the Grenadines","East Amy",1.41273320386765
2001,"Oman","New Kathy",1.4141325153707862
2012,"Suriname","East Kimberlyside",1.4179628918725429
2004,"Colombia","Leeberg",1.4231992121667592
2020,"Andorra","Calderonmouth",1.4351706644969542
2021,"New Caledonia","Lake Dylanbury",1.4395898354041092
2006,"Serbia","West Nicholashaven",1.4450915296216449
2022,"Guinea-Bissau","Williamsville",1.4451323916221226
2004,"New Caledonia","Rodgerschester",1.4493516956769923
2015,"Luxembourg","Milesshire",1.4507727314232666
2018,"Eritrea","Loriburgh",1.4522284122958695
2014,"Wallis and Futuna","South Nathaniel",1.452384847609306
2018,"Venezuela","Janiceton",1.4563060440094755
2006,"Philippines","New Brandon",1.4568064100439704
2001,"Austria","South David",1.4592502481217462
2019,"Maldives","Lake Kathyborough",1.4660854920650337
2012,"Ethiopia","New Melissa",1.4779788095345636
2010,"Lesotho","Youngville",1.4840919458391777
2008,"San Marino","Lake Thomasmouth",1.485321086835184
2018,"Jersey","North Christiebury",1.493595157156985
2013,"Saudi Arabia","Knightport",1.4991061135807449
2012,"Mongolia","Calvinport",1.50382862531932
2020,"British Indian Ocean Territory (Chagos Archipelago)","Williamport",1.5060049169013434
2002,"Brazil","Michaelborough",1.5106156715761876
2010,"Comoros","Lake Barbarastad",1.5124446798542523
2012,"Australia","Kristenhaven",1.5145507028637928
2005,"Malaysia","Lake Brianburgh",1.5207817170197813
2018,"Denmark","Shawport",1.5493992768944809
2016,"Mongolia","Whitemouth",1.55628443086398
2016,"Brazil","Amandashire",1.556451198572628
2013,"Palestinian Territory","New Pamela",1.5581723903177025
2001,"Kenya","Johnnyside",1.5582436447922954
2003,"Greece","East Tanyaburgh",1.5584690374126908
2020,"Oman","Port Jeffrey",1.5611197493825113
2000,"Korea","New Meganport",1.5714535071751967
2019,"Dominica","South Robert",1.571594679831284
2010,"Swaziland","South Micheleview",1.5864567469686677
2015,"Liberia","Cunninghamton",1.5871450356415573
2019,"Holy See (Vatican City State)","Hobbsburgh",1.598994063895515
2021,"Argentina","Robleshaven",1.6020873844786343
2010,"Lao People's Democratic Republic","Nicholasberg",1.6041120127566588
2021,"British Indian Ocean Territory (Chagos Archipelago)","Theodoremouth",1.6087294523689843
2009,"Kuwait","Ashleyberg",1.6091395687676202
2022,"Hong Kong","North William",1.6108109561155717
2019,"Ghana","Helenstad",1.6169991130314476
2005,"Mongolia","New Nicholasmouth",1.6293379612981551
2018,"Indonesia","South Brent",1.6330323839261196
2009,"Cayman Islands","Cristinaside",1.633640298527339
2018,"Mauritius","South Paul",1.635871234410835
2021,"French Southern Territories","West Devinside",1.642137760868001
2015,"Chile","Port Ryan",1.6426358295503984
2005,"Samoa","Huangborough",1.6502953277404977
2013,"Hong Kong","East Katherine",1.654298524965414
2016,"Bahamas","Smithshire",1.6587378068818104
2019,"Albania","Winterschester",1.6611088449543954
2008,"Costa Rica","North Tammybury",1.6624481198785457
2009,"United States Minor Outlying Islands","New Rebeccaside",1.668129276838343
2005,"Sao Tome and Principe","New Jennifer",1.668534368587704
2007,"Timor-Leste","New Sharifort",1.685785190721495
2003,"Guernsey","Savannahmouth",1.6866317815298626
2011,"Jamaica","New Michael",1.6870244973621384
2019,"Lebanon","West Elizabethside",1.6882788923993863
2007,"Cote d'Ivoire","Lake Cherylview",1.6884090563758505
2012,"India","Port Tonyamouth",1.7257760966547742
2008,"Guernsey","Joshuafurt",1.7347511630957435
2013,"Heard Island and McDonald Islands","East Jessica",1.7435659104599266
2008,"Georgia","Lake Amandamouth",1.7443825738522212
2007,"Lithuania","New Austin",1.7573750980888925
2004,"Svalbard & Jan Mayen Islands","Cummingsside",1.7678047067300362
2003,"Honduras","East Victoriaton",1.775593463192804
2018,"Netherlands","Port Heatherfurt",1.797550581623919
2007,"Ukraine","Tammybury",1.8254448590615255
2008,"Barbados","Lewisland",1.831519130467918
2000,"Egypt","Camposfort",1.833402038880011
2006,"Poland","East Colleenside",1.8338835610898276
2010,"Sweden","North Ronald",1.8374103308454737
2005,"Mozambique","East Matthew",1.8486923352097229
2008,"Lao People's Democratic Republic","Andersonville",1.851658582567195
2011,"Bangladesh","East Daniel",1.8762312452968168
2013,"Burundi","New Jessica",1.8775128381440576
2019,"Saint Pierre and Miquelon","East Michelle",1.8837039014127088
2011,"Isle of Man","South Shannon",1.8853921599538248
2016,"Malawi","Lucasmouth",1.8913918832170808
2018,"Taiwan","West Anthonychester",1.893021084147156
2010,"Mali","Olivermouth",1.8986466136222069
2022,"Lebanon","New Peterton",1.9002374793849253
2006,"Norway","West Justinberg",1.903598119682931
2012,"Argentina","South Julieside",1.905811036615157
2006,"China","Sergiofurt",1.9177301022606508
2007,"Kenya","East Dominichaven",1.9193099086209973
2008,"Belize","Port Anne",1.924568790900888
2009,"Tonga","Nelsonland",1.925313883755747
2009,"New Caledonia","Jenniferbury",1.9274868563112613
2000,"Equatorial Guinea","Lake Wayne",1.9300918215122365
2020,"Falkland Islands (Malvinas)","Port Melissa",1.9370130370215788
2013,"South Africa","Johnsonburgh",1.937487138223748
2000,"Qatar","Brownborough",1.944174993449177
2015,"Belgium","Lake Mandyside",1.9483448245458836
2004,"Japan","South Brandonport",1.949993819036344
2010,"Singapore","East Lisamouth",1.9530002584315589
2018,"Uganda","Rodriguezhaven",1.9559351825729376
2020,"Belgium","North Kathleenfort",1.9570331669319097
2012,"Turkmenistan","Morganside",1.9655340442643776
2012,"Zimbabwe","Port Julieberg",1.967170331311357
2021,"Guinea-Bissau","Bonnieton",1.9679101325782435
2014,"Nepal","Lake Jennifer",1.9777658623131245
2018,"Botswana","New Andrewfurt",1.982921618645178
2013,"Bangladesh","East Scottburgh",1.9833210384471225
2015,"Morocco","West Kimbury",1.9879166888372213
2000,"United Kingdom","South Marvin",2.002041080003925
2001,"United States Minor Outlying Islands","East Kathleenport",2.0035664123272734
2018,"Sri Lanka","Barnesside",2.0067298485717364
2004,"Azerbaijan","Ariasbury",2.00700610243888
2014,"South Georgia and the South Sandwich Islands","Rickburgh",2.0086515966548038
2012,"Turkmenistan","South Kelliburgh",2.033353615912903
2016,"Belize","North Mitchellton",2.0354376087326043
2004,"Palau","Shanemouth",2.036237088017473
2009,"Montenegro","Mclaughlinside",2.044276949835039
2000,"Western Sahara","Silvaburgh",2.049937926072526
2000,"Iraq","Jonesview",2.0504155911715727
2010,"Saint Lucia","Port Andrew",2.052513412060686
2015,"Burundi","Sullivanland",2.052944592260808
2012,"Bangladesh","Saraville",2.0586981532709103
2009,"Tuvalu","Port Williamchester",2.0590996368781034
2019,"Norfolk Island","East Andreaville",2.0632775403990333
2009,"Germany","Whiteview",2.065499992785353
2000,"Cape Verde","Sanchezton",2.0668087214323227
2021,"Faroe Islands","South Robertmouth",2.0699156960376666
2016,"Lebanon","West David",2.07079213831261
2018,"Palestinian Territory","Ortizville",2.078286582208844
2013,"Grenada","Lake Joseph",2.083387377172979
2022,"Belarus","Port Melissahaven",2.096173577387411
2004,"Hungary","South Aprilborough",2.1015993498500976
2008,"Palau","Port Brittanyborough",2.1023955470877818
2011,"Timor-Leste","North Robinmouth",2.10835972165217
2020,"Lebanon","Richardview",2.120060706740478
2002,"Ghana","East Jeffreyhaven",2.1313606623563297
2014,"Brunei Darussalam","North Wendy",2.143538037289383
2000,"Mongolia","New Jamestown",2.143677232983776
2002,"Albania","Jamesport",2.147277622675936
2022,"Svalbard & Jan Mayen Islands","Port Jennifer",2.1629095608469315
2015,"Switzerland","East Josephberg",2.172599830032312
2003,"Cyprus","South Markport",2.178642389781232
2011,"Latvia","Jessicabury",2.1824469070656995
2019,"Belize","Caseyland",2.1843081449247514
2008,"Swaziland","Lake Marissa",2.1850614836619373
2018,"Uruguay","Heatherville",2.1875508392319887
2015,"Argentina","Robinborough",2.1919110522069687
2019,"Sao Tome and Principe","Christinafurt",2.1927305514067297
2006,"Pakistan","Ellishaven",2.1989998075783337
2002,"Tanzania","North Jonathanton",2.2067172768663266
2005,"Cook Islands","Kellymouth",2.2082131833212504
2016,"South Africa","Michealstad",2.2089815199773657
2000,"Hungary","Jarvisview",2.219255349099741
2019,"United Kingdom","Karenside",2.222693027619144
2021,"Papua New Guinea","Nancyland",2.233192352282176
2016,"Mozambique","New Julie",2.240763773304744
2013,"Congo","East Debraburgh",2.244112904522427
2019,"Saint Pierre and Miquelon","West Patricia",2.2539989500813764
2019,"Namibia","Lake Patriciaton",2.257679558797437
2000,"Dominica","West Susanmouth",2.2671118149503955
2012,"Slovakia (Slovak Republic)","Port Robertberg",2.277695124476348
2017,"Mexico","Williamview",2.279002520647011
2005,"Guernsey","Johnsfort",2.2798326983522523
2008,"Malawi","Gonzalezfurt",2.2910498979544114
2005,"Western Sahara","Georgefort",2.298597473127284
2002,"Tunisia","Tanyamouth",2.303115473031964
2004,"Singapore","Haydenside",2.322424512725696
2018,"Togo","Lake Joshua",2.329344975591252
2000,"Montserrat","West Jordan",2.3364379690897774
2011,"Puerto Rico","Port Scott",2.338944955174904
2016,"Botswana","Halltown",2.3442260810728035
2003,"Saudi Arabia","Deborahstad",2.351792440927103
2003,"Saint Pierre and Miquelon","Amystad",2.352974490527848
2002,"Congo","Larsenburgh",2.3547115766807734
2011,"Mali","Lake Justinbury",2.3587696780328624
2021,"Uzbekistan","Danielschester",2.3597586167759923
2011,"Antigua and Barbuda","Chambersberg",2.362006450115067
2009,"Chad","Johnsonberg",2.3958201326484243
2015,"Mexico","South James",2.398108856840381
2002,"Portugal","West Destiny",2.400798060810972
2006,"United States Minor Outlying Islands","North Jennifer",2.4077208397029315
2017,"Andorra","East Scotthaven",2.4154131684470723
2009,"Albania","Port Christopherview",2.4166028016743226
2019,"Eritrea","East Lisa",2.4185529822905005
2005,"Micronesia","New Hollystad",2.4190144053691967
2007,"Isle of Man","South Mariohaven",2.4240514513385825
2001,"Slovakia (Slovak Republic)","West Leonard",2.435598783958953
2018,"Macao","Palmerfurt",2.439091103865537
2015,"Trinidad and Tobago","Wardmouth",2.445539892205284
2002,"Madagascar","Ramireztown",2.466986969136648
2015,"Tajikistan","Stevenbury",2.489653437148004
2014,"Maldives","Brandiland",2.491684292514579
2006,"Italy","Catherinefort",2.4955167695932365
2020,"North Macedonia","Jonburgh",2.5019602906636464
2008,"Seychelles","West Richardton",2.507176366952363
2000,"Bulgaria","West Karenmouth",2.5098221795492206
2001,"Japan","New Jeffrey",2.5151876858395763
2001,"Central African Republic","Ericatown",2.5180813354984286
2001,"Malawi","Marshallshire",2.5196757335097963
2016,"Armenia","Port Chelsea",2.5254081765869687
2013,"Isle of Man","Omarfort",2.526661467033847
2001,"Singapore","Duranfort",2.5307860089145984
2005,"Guinea-Bissau","Port Terri",2.5317672713495
2001,"Mauritania","Armstrongport",2.5351264239184825
2008,"British Virgin Islands","South Emily",2.5470926516157237
2020,"Brazil","Port Laura",2.5501574950574204
2005,"Zambia","Braymouth",2.551065541012665
2011,"South Africa","Lake Benjamin",2.560338839466497
2020,"Portugal","Danielshire",2.5628617035521217
2000,"Brunei Darussalam","Port Lauren",2.570342523952496
2017,"Japan","East Brianburgh",2.570738877555839
2007,"Sweden","Lorihaven",2.5722415209259
2021,"Uruguay","Burnettborough",2.5740942001366007
2000,"Algeria","Cuevasfort",2.59033877409432
2002,"French Guiana","North Saramouth",2.5944292444449344
2015,"Uganda","South Jacob",2.5982187877930385
2003,"Timor-Leste","Lake Kevin",2.6001993793400846
2000,"Lithuania","East Natalie",2.604300941285098
2009,"Kiribati","Powellstad",2.61222290041363
2020,"Georgia","Davidton",2.6131009249501345
2007,"Austria","Wattsside",2.6214890278285887
2007,"American Samoa","Lake Richardfort",2.6232070529311926
2004,"Rwanda","West Daryl",2.627817825287948
2009,"Niger","Rodriguezbury",2.639058410638856
2015,"China","Johnsonport",2.663704524141136
2017,"Vietnam","Tiffanyborough",2.6693940172527637
2006,"Bermuda","Kristinaberg",2.6700570555835634
2015,"Brunei Darussalam","Nathanmouth",2.680969718872705
2002,"Brazil","Huffstad",2.684581631072525
2014,"Czech Republic","Brandonchester",2.6864547237432257
2012,"Egypt","Schwartzside",2.6865284542799905
2006,"Colombia","East Kathryntown",2.689483134375714
2009,"India","Lake Sandrashire",2.6920595907658385
2003,"Yemen","Colleenland",2.692126556489965
2006,"Svalbard & Jan Mayen Islands","Darrylborough",2.695032138654474
2016,"Trinidad and Tobago","Denisestad",2.70060824586198
2001,"Saint Vincent and the Grenadines","North Thomas",2.7032476581267115
2021,"Liberia","East Jamesport",2.7076108437853854
2005,"Paraguay","West Grant",2.7099406678972926
2007,"Niger","South Glen",2.713225474495867
2016,"Anguilla","Kerrhaven",2.7133911623396734
2003,"Norfolk Island","Brandonshire",2.714720958466049
2009,"Armenia","Johnsonhaven",2.7165892512127368
2014,"Dominica","Port Christinehaven",2.7174450358745714
2019,"Fiji","Morrischester",2.717819313888609
2014,"Australia","New Sonya",2.722970694505128
2010,"Saint Martin","East Marissa",2.724037677205998
2004,"Bermuda","East Juan",2.727473205807496
2003,"San Marino","Port Brenda",2.7308191588035435
2008,"Venezuela","West Eric",2.7316404140748265
2015,"Martinique","Lake Clintonshire",2.733124685129107
2011,"New Caledonia","South Josephview",2.7364921748230744
2021,"American Samoa","Joshuahaven",2.7376391887754705
2004,"Spain","East Debraville",2.7382639997394707
2008,"United States of America","Molinashire",2.7405216089279483
2019,"Sweden","East Brianstad",2.7473188185256845
2013,"Antigua and Barbuda","East Brent",2.7494092437407525
2015,"Hungary","Bradyside",2.7502108306025344
2001,"United Arab Emirates","Coreybury",2.765220555783804
2015,"French Southern Territories","Lake Jeffrey",2.767321602234707
