"year","country","location","co2_emissions"
2002,"Antarctica (the territory South of 60 deg S)","South Juliamouth",272.3770715391981
2016,"Saudi Arabia","West Deborahfort",272.6787944180033
2018,"Cocos (Keeling) Islands","North Gina",273.01738902146406
2019,"Jordan","Port Joshuaview",273.56809339274866
2003,"Andorra","West Brettbury",274.16672775763664
2017,"Swaziland","East Carlos",274.3404601639651
2011,"Liberia","Sarahhaven",275.4778400769459
2008,"Honduras","Lake Jessica",275.4957306244962
2009,"Malawi","Grahamstad",275.6743160318553
2000,"Latvia","Rachelburgh",275.76968935784737
2016,"Saint Helena","Maldonadoburgh",276.0964072746549
2018,"United Kingdom","Mullenburgh",276.2979099262039
2007,"Dominica","Campbellstad",276.3650549327839
2014,"Mayotte","Isabellastad",277.23602311768417
2003,"Benin","East Sarah",277.2728205652628
2002,"Myanmar","Lake Amanda",277.6332693334614
2014,"Indonesia","Sherryhaven",278.129023729005
2002,"Tunisia","New Teresa",278.4096408177779
2011,"Antigua and Barbuda","Chambersberg",278.5426907112268
2001,"British Virgin Islands","Penningtonberg",278.95418889767154
2021,"Svalbard & Jan Mayen Islands","Patricktown",279.24902226722423
2008,"Ethiopia","Port Tonyatown",279.56670555353344
2021,"Bahamas","North Barbarahaven",279.61530675222696
2018,"Kazakhstan","East Johnland",280.0287451833138
2007,"Serbia","Juliechester",281.0512451611604
2005,"Niue","West Barbara",281.54832439811173
2014,"San Marino","South Thomasview",281.83180842847827
2008,"Afghanistan","West Jennifershire",282.2258425219092
2022,"Bangladesh","Lambertborough",282.46881304540005
2012,"Antarctica (the territory South of 60 deg S)","South Anita",282.73114863344455
2018,"Belize","West Heidi",282.76793206983945
2022,"Afghanistan","Serranofurt",283.0171467556712
2022,"Brunei Darussalam","Simonville",283.07388280525566
2018,"Monaco","Gonzaleshaven",283.2364960048436
2001,"Jersey","East Fernandoshire",283.45480507735044
2011,"Mozambique","West Lauriechester",283.67841796344914
2002,"Bahrain","East Meganshire",283.716379234891
2012,"Qatar","Timothyton",283.8050043873872
2008,"Liechtenstein","New Amandahaven",284.50497011013124
2006,"Norway","West Justinberg",284.7409892068561
2022,"Nigeria","South Bryanfurt",284.95544562403427
2015,"Antigua and Barbuda","Robertborough",284.96199881760936
2012,"Vietnam","Lake Jeremyville",285.08575365271105
2021,"Chad","New Laurenfort",285.12906790323643
2004,"Bulgaria","Loweville",285.1916457529745
2013,"Paraguay","West Lisaborough",285.2203208193212
2013,"Liechtenstein","South Angelafort",285.3391702308041
2006,"Angola","Mayton",285.4052356969716
2018,"India","Davidbury",285.4999147650895
2019,"Guinea-Bissau","Donaldfurt",285.62235466783176
2011,"Barbados","Comptonmouth",285.92659866784766
2011,"Australia","South Michaelstad",286.25489445916344
2002,"Peru","Port Melinda",286.3555165764755
2017,"Sierra Leone","North Francisco",286.41095880660833
2004,"Romania","Tinaburgh",286.4722083153873
2016,"Serbia","South Brianshire",286.9012470448828
2016,"Mauritius","New Angela",287.0351801921514
2009,"Saint Helena","Alexandraborough",287.7234268384327
2012,"Niue","Pittmanburgh",287.83548239699417
2009,"Barbados","West Anna",288.15865062198657
2013,"Lebanon","South John",288.3286666903639
2017,"Kenya","Lake Gregoryville",288.3462234974488
2010,"Saint Vincent and the Grenadines","Steventown",288.415613976437
2000,"Botswana","Port Andrewhaven",288.45189752178425
2004,"Syrian Arab Republic","West Reneeborough",288.7606598448881
2007,"Tanzania","Newtonshire",289.09359299816634
2011,"Holy See (Vatican City State)","Hopkinsstad",289.53025606391463
2016,"Saint Barthelemy","Saundersville",289.5710109590209
2018,"Malaysia","East Richardbury",289.8566121984509
2002,"Mauritania","Lambertview",289.8818540973388
2017,"Grenada","West Amy",290.13885336606234
2009,"Hungary","Dakotaside",290.1565183743766
2007,"Cameroon","North Ashley",290.3040506465044
2015,"Poland","Wolfhaven",290.3694893231891
2001,"Armenia","Thomasview",290.4422237637084
2003,"Palestinian Territory","New Derek",290.5362504416737
2022,"Wallis and Futuna","Merrittview",290.59252938003897
2000,"Lao People's Democratic Republic","New Justin",290.62650172200404
2010,"Serbia","Gregoryview",290.714707586019
2016,"Tanzania","Adamsshire",290.76432837516865
2008,"Bahamas","West Brianport",290.82952134136406
2021,"United States of America","Davisburgh",290.9435494456965
2007,"Nepal","Rushbury",291.0940833932507
2013,"Georgia","Rebekahville",291.3188756613067
2006,"Morocco","North Matthewchester",291.3883687454234
2002,"Sao Tome and Principe","Angelaburgh",291.48906868507305
2015,"Rwanda","Garzafurt",291.5187766199875
2012,"Kazakhstan","Kellymouth",291.6399501707831
2020,"Christmas Island","Ashleymouth",291.9093637678591
2015,"Malta","New Dominiqueberg",292.04557422064056
2018,"Sweden","Gonzalezberg",292.0870063809284
2016,"Estonia","North Sarahberg",292.121108139777
2000,"Northern Mariana Islands","East Keith",292.1260162680341
2007,"Sao Tome and Principe","West Kimberly",292.24970735303833
2017,"Latvia","East Justinmouth",292.3248923210159
2005,"Saint Vincent and the Grenadines","Molinaland",292.3518195964385
2021,"United Kingdom","North Julie",292.4494879280343
2010,"Gambia","Paigeland",292.5041526091164
2018,"Reunion","West Andreafurt",292.7172965321058
2004,"Bolivia","East Anthony",292.78143115140654
2000,"Senegal","Martinhaven",292.7917229547479
2016,"Norfolk Island","Port Lindaberg",292.9296792985324
2011,"Romania","Robertport",292.9914281567418
2017,"Congo","New Michelleborough",293.1641139329517
2022,"Puerto Rico","North Justin",293.19396493567683
2015,"Netherlands","Scottchester",293.19808184646183
2013,"Bahrain","North Tammystad",293.2250496503795
2014,"Bulgaria","Smithberg",293.2595229660087
2021,"New Caledonia","Lake Dylanbury",293.3903139955384
2016,"Malta","Leeberg",293.5185067368642
2004,"Spain","South Stephenborough",293.8081999676142
2022,"Bahamas","Johnmouth",293.9270322430075
2009,"Svalbard & Jan Mayen Islands","East Davidfort",293.9442624063156
2008,"Spain","East Dylan",294.09230840529494
2011,"Netherlands","Andrewville",294.21359118459327
2005,"Western Sahara","Georgefort",294.2785055047466
2010,"Austria","North Amandaton",294.4756317019743
2006,"Belgium","Torresland",294.5271459011776
2013,"Martinique","Lake Susan",294.57916376723165
2006,"Bosnia and Herzegovina","East Teresaton",294.75870726143444
2016,"Belgium","New Morgan",294.8503860181114
2004,"Egypt","Mileschester",295.02112553356284
2016,"Uruguay","Port Davidside",295.2857623666806
2007,"Haiti","Mckenzieborough",295.35054915773355
2018,"Venezuela","Janiceton",295.5460950372837
2003,"Togo","Gonzalezburgh",295.72142469852963
2003,"Holy See (Vatican City State)","West Steve",295.99094036771726
2017,"Tuvalu","Smithshire",296.0244454920912
2019,"Mauritius","Comptonland",296.04875754978394
2013,"Burundi","Jonathanmouth",296.21162402028546
2009,"Peru","West Alexaview",296.3449834704218
2010,"United States of America","Johnberg",296.5901094183491
2015,"United States of America","Moralesberg",296.7327774117465
2007,"Thailand","West John",296.75102893183384
2012,"Bangladesh","Saraville",296.8566376026324
2012,"Vanuatu","Garciafurt",297.121301146768
2019,"Antarctica (the territory South of 60 deg S)","Richardview",297.2139138035237
2005,"Dominican Republic","South Angelaburgh",297.5885967598799
2020,"Saint Martin","Dariusshire",297.7059531460806
2007,"Greece","Kylemouth",297.81503378560313
2005,"Yemen","Sarachester",298.04898042559387
2006,"French Guiana","Lake Amy",298.29201776820184
2020,"Antigua and Barbuda","Wendyport",298.3544804013269
2009,"Madagascar","New Phillipberg",298.3775633886016
2000,"Guyana","West Pattyville",298.3829046440999
2022,"Cook Islands","Kristenburgh",298.5643250968666
2005,"Trinidad and Tobago","Andersonland",298.604608140981
2019,"Bulgaria","Davisside",298.70873015880983
2003,"Taiwan","New Jessicaland",298.73048573906243
2003,"Aruba","Suzanneburgh",298.8267494701913
2003,"Marshall Islands","New Ryanmouth",298.9284922087918
2000,"Israel","Lawsonmouth",299.36442665209097
2002,"Cuba","West Melissa",299.3884216531836
2019,"Peru","West Laura",299.6845763623821
2012,"Pakistan","New Jackmouth",299.6979027222859
2013,"United Kingdom","Carpenterport",299.8015660318525
2011,"Hungary","South Christopher",299.82247651989366
2019,"Malta","Stevenland",299.8887117115207
2008,"Slovakia (Slovak Republic)","East Brianchester",300.26061388423165
2007,"Morocco","New Melissa",300.26967470131024
2005,"Chile","South William",300.34098143143234
2001,"Jersey","West Lorraineland",300.3838409006105
2012,"Aruba","West Donaldland",300.39869811300184
2011,"Christmas Island","Nelsonbury",300.52299088587176
2002,"Tanzania","North Jonathanton",300.6851181111095
2008,"Japan","West Julianton",300.7072148786112
2015,"Greenland","Lake Calebchester",300.8778857849617
2003,"Anguilla","Juliebury",300.9293139712742
2011,"Jersey","Carolport",300.9424164231224
2001,"Djibouti","East Daniel",300.9722625882642
2021,"Cook Islands","North Megan",301.0799313045013
2006,"Tajikistan","New Charles",301.1156321219995
2021,"Cambodia","Stacyview",301.1876917661591
2004,"Sao Tome and Principe","Ronniebury",301.19222281904746
2007,"British Virgin Islands","Matthewmouth",301.35574768144903
2016,"Moldova","Mendezmouth",301.3948183647678
2021,"Turkey","Weberfurt",301.43215993207616
2004,"Qatar","Jonestown",301.62412990266745
2018,"Micronesia","Amberberg",301.6311526019357
2009,"Holy See (Vatican City State)","South Robertbury",301.7023785588525
2002,"Cambodia","Jeremyport",301.7764910971616
2003,"Bosnia and Herzegovina","Port Joshua",301.7801744183859
2004,"Netherlands","West Tracyberg",301.8577210861229
2007,"Reunion","Josephview",301.89996592951934
2009,"Tanzania","Caseymouth",301.94369856073
2010,"Switzerland","East Alex",302.02823475531426
2010,"Iraq","Sandraview",302.0913413018038
2008,"Serbia","Walkerbury",302.0918260531141
2015,"Malaysia","Port Jefferyland",302.148876685439
2014,"Cameroon","North Theodoreport",302.3563712218846
2020,"France","Moniquefort",302.4776719257214
2019,"Bhutan","South Kyleburgh",302.63722608563626
2021,"Malta","Lake Maryport",302.8758523947187
2011,"Latvia","Jessicabury",302.9403307927966
2021,"Guinea","South Allison",302.99385922176714
2017,"Serbia","Lake Kaitlinview",303.0202934548398
2004,"Burkina Faso","Wilsonmouth",303.15033112450857
2009,"Malta","North James",303.1565008958421
2013,"Argentina","South Amy",303.17686844141656
2008,"Iceland","Hayeston",303.2293807155192
2010,"North Macedonia","Brownhaven",303.2297258149196
2018,"Grenada","Lake Brandon",303.2737061627617
2012,"Saint Helena","Paulmouth",303.3349097428171
2020,"Chad","Lake Jasonfort",303.3374206662712
2005,"Heard Island and McDonald Islands","Silvafurt",303.39227292558974
2015,"Libyan Arab Jamahiriya","Webbport",303.4818942748972
2008,"Cayman Islands","West Brittney",303.4998687683237
2012,"Mali","West Deniseborough",303.5359478197852
2008,"Northern Mariana Islands","Lake Ronald",303.59340739628203
2006,"Germany","Port Johnville",303.61523186853293
2019,"Netherlands Antilles","North Robertville",303.8036281968553
2004,"North Macedonia","East Debra",303.95010902981414
2006,"Antigua and Barbuda","Lake Micheal",304.0465338626001
2005,"Yemen","Port Luke",304.2247375835427
2020,"Kazakhstan","Nealville",304.27554115410595
2002,"Liberia","Ellisbury",304.38196484621204
2022,"Zambia","East Amanda",304.4168783666581
2004,"Sao Tome and Principe","Goodfort",304.4506826459069
2014,"Palestinian Territory","West Scottfurt",304.4598716045102
2001,"Holy See (Vatican City State)","New Marcoborough",304.5155282760921
2012,"Turks and Caicos Islands","East Debrafurt",304.7809755268794
2010,"Algeria","Austinstad",305.09325318671404
2011,"Niue","Lake Jonathanstad",305.14334839732965
2021,"Comoros","Patriciaberg",305.1646808206942
2020,"China","Johnsonshire",305.16553909947817
2007,"Bahrain","New Daniel",305.19500644651606
2011,"Slovakia (Slovak Republic)","Jamesborough",305.2282622986742
2004,"Netherlands","New Cameronfurt",305.2659668941613
2014,"Latvia","Port Peter",305.2898904034992
2017,"Jamaica","Jonesville",305.3068913429096
2001,"Guinea","West Pamelachester",305.32393379026075
2018,"Indonesia","Davisfurt",305.3650325425562
2004,"French Guiana","Lake James",305.3725940693423
2008,"Iceland","Smithshire",305.53488137236366
2014,"Afghanistan","Fernandezfort",305.55112410945657
2007,"Marshall Islands","Zacharyton",305.61630599706046
2007,"Spain","South Allison",305.62356807434026
2015,"Falkland Islands (Malvinas)","Phillipsfort",305.73048645587016
2020,"Vanuatu","Johnstonfurt",305.81944588240464
2015,"Iraq","Nashhaven",305.8873141669774
2008,"Palau","Jessicamouth",306.0170184560356
2015,"American Samoa","Jaclynport",306.0174812145924
2003,"Cameroon","Jonesport",306.024430359975
2008,"Canada","Jamesmouth",306.3175637185685
2011,"Timor-Leste","North Robinmouth",306.4584773169615
2012,"Argentina","South Julieside",306.5415117486445
2001,"Timor-Leste","South Edwardland",306.9574021023184
2002,"Monaco","North Robert",306.97104812630846
2016,"Somalia","Dawnport",307.10267655465543
2017,"Burkina Faso","Scottview",307.165850241254
2007,"Lesotho","North Dorothy",307.2043922180647
2006,"South Georgia and the South Sandwich Islands","New Carolinemouth",307.2448191615215
2010,"Samoa","Lake Thomasstad",307.247561096234
2008,"Seychelles","Williamschester",307.27587108677176
2001,"Honduras","Kimberlymouth",307.38457579540614
2022,"Brazil","Clinechester",307.4074097582443
2000,"North Macedonia","North Angelicaport",307.4430705784682
2015,"Gambia","Josephburgh",307.49734367613144
2002,"Armenia","Kimberlyfurt",307.751635279128
2021,"El Salvador","Kelleyberg",307.8359390957312
2005,"Cape Verde","Cooperburgh",308.1130055622758
2014,"Dominica","Lake Garyville",308.1870126243447
2001,"Central African Republic","Nguyenfurt",308.2786046311785
2003,"Mexico","East Ashley",308.3352110067822
2010,"Palestinian Territory","Jessehaven",308.3467615908972
2017,"Chad","New Wendy",308.3901256663886
2013,"Christmas Island","Mannland",308.4716526446019
2015,"Jordan","Stricklandside",308.6146049950966
2019,"Vanuatu","Tammymouth",308.6468836245061
2003,"Tunisia","Gibsonhaven",308.69474022252007
2019,"Niue","Rogersmouth",308.7251606398188
2005,"Saint Lucia","Port Gregorystad",308.73056004791124
2001,"Andorra","South Jonathan",308.75860209132014
2004,"Guernsey","Wrightberg",308.85828199582323
2018,"United States of America","Danielfort",308.8898277827688
2020,"Greenland","South Cynthia",308.89524668360764
2008,"Egypt","Padillaport",308.9807906958968
2007,"Jordan","Katelynton",308.9830920837429
2017,"Christmas Island","Port Christopher",308.9884236721936
2019,"Argentina","Lake Christopher",309.2206230962872
2001,"Kiribati","Chaseview",309.2507849651113
2013,"Slovenia","East Megantown",309.368064397498
2021,"Greenland","Jacksonbury",309.4557347021454
2020,"Christmas Island","North Edward",309.56976039997176
2002,"Kyrgyz Republic","Wallerfurt",309.6303181591484
2014,"Bulgaria","East Julian",309.63116476184405
2021,"Lao People's Democratic Republic","Mendezburgh",309.65398967797216
2009,"Mozambique","Matthewburgh",309.75847333811294
2021,"Togo","Barbaramouth",309.92762514594
2001,"Albania","West Leeland",309.9981627002621
2015,"Cambodia","Port Jamestown",310.0201024645784
2000,"Puerto Rico","Katherineport",310.1321799587645
2015,"Reunion","New Jamesport",310.1626631988977
2016,"Guadeloupe","Ruthburgh",310.3515866684271
2020,"Ukraine","Chavezmouth",310.40230023805714
2010,"Angola","West Timothy",310.4042187388732
2013,"Paraguay","New Peterfort",310.4096018613429
2003,"Nigeria","Garrettview",310.5042547834402
2013,"Czech Republic","Tanyastad",310.5076996576774
2013,"Venezuela","West Janet",310.5168259788566
2010,"Korea","East Charlesland",310.564542217502
2015,"Montserrat","Watkinsside",310.5964376316265
2002,"Georgia","New Emilyton",310.6029894513016
2021,"Cocos (Keeling) Islands","East Carriebury",310.6161839890641
2006,"Cambodia","Stacyborough",310.63957003919404
2013,"Uganda","Tateland",310.75402942905293
2018,"Portugal","New Julie",310.7690871031693
2008,"Romania","East Destiny",310.77103932790226
2003,"Sierra Leone","South Mariahaven",310.77739477302896
2021,"Saint Lucia","Port Lanceburgh",310.8645896067329
2016,"Albania","Patriciastad",310.92595691661535
2004,"Singapore","Josephport",310.9398291993032
2000,"Serbia","Amandafort",311.01272264340423
2001,"Peru","Sheltonfurt",311.09927036704033
2008,"Burkina Faso","Jessicahaven",311.1192810726948
2022,"Montenegro","Hamiltonstad",311.1210354599264
2003,"Timor-Leste","Mullinsfurt",311.1717019485021
2018,"Australia","West Nina",311.2330766637886
2012,"Bulgaria","Angelastad",311.27668988736286
2011,"Cocos (Keeling) Islands","West Scott",311.3130766159391
2013,"Italy","Deanburgh",311.31871532970047
2002,"Congo","West Abigail",311.3625955870274
2009,"Cote d'Ivoire","South Heatherchester",311.37594470263565
2009,"Saint Barthelemy","South Laurenville",311.49529390401784
2004,"Czech Republic","Johnberg",311.5591818364647
2015,"North Macedonia","New Steven",311.6160155375505
2016,"Denmark","West Kerryland",311.6246336725011
2009,"Fiji","West Courtneyfort",311.6846114103484
2010,"Finland","New Maria",311.79823159676613
2002,"Tanzania","Christopherfurt",311.8762982200868
2008,"Montserrat","Griffinton",311.890991496639
2020,"Estonia","North Christineport",311.90712783339103
2003,"Aruba","Knappfurt",312.10774159836865
2009,"Guinea-Bissau","Walterberg",312.1144092623947
2016,"Faroe Islands","Clarkton",312.15251537040467
2017,"Niue","Hawkinsview",312.1749695810949
2006,"Maldives","South Nathaniel",312.1806785160169
2017,"Jamaica","New Courtney",312.20719208571154
2001,"Macao","South Lindseymouth",312.24262508287654
2013,"British Indian Ocean Territory (Chagos Archipelago)","Alexandrafurt",312.25696300249683
2021,"Colombia","Hortonfort",312.25846193702074
2006,"Syrian Arab Republic","Taylorview",312.3557660076467
2015,"Uruguay","Lake Aaronmouth",312.36254485276766
2011,"Italy","Averyview",312.3932652980801
2000,"Qatar","Brownborough",312.42424442416694
2022,"Guinea-Bissau","North Kimberlychester",312.5124192001963
2015,"Reunion","Trantown",312.53987025225024
2007,"Burkina Faso","Troymouth",312.5923563749485
2001,"India","Jacobland",312.60289933232286
2009,"Anguilla","Normanland",312.6982764754714
2018,"Puerto Rico","South Haroldchester",312.701983811444
2012,"Saint Kitts and Nevis","Carlsonburgh",312.72151293798754
2022,"Isle of Man","Hillton",312.8339251974742
2003,"Trinidad and Tobago","North Markside",312.9113249172711
2000,"Iran","Matthewport",313.1592906552729
2014,"Peru","Elizabethfurt",313.19807949299195
2016,"Saint Kitts and Nevis","West Williamhaven",313.3094520801227
2020,"Turks and Caicos Islands","Lake Heatherland",313.4160357106877
2021,"United Arab Emirates","North Angela",313.5547260422946
2013,"Uganda","New Jorge",313.59208335989734
2021,"Afghanistan","Wesleyburgh",313.6178602000045
2020,"Bahamas","Martinezfort",313.6772820619487
2015,"American Samoa","Riosberg",313.72687981727336
2022,"Estonia","East Katherine",313.7938875699801
2020,"Lebanon","West Matthew",313.84381120219456
2003,"French Southern Territories","West John",313.871519111088
2018,"Georgia","Lake Jackie",313.8854629144538
2000,"Estonia","Castilloview",313.89507357079543
2015,"Lesotho","West Tonya",313.91584552041456
2002,"Montenegro","West Aaronland",314.03432527542344
2003,"Niger","New Rebekahchester",314.11519829844246
2005,"Senegal","North Erictown",314.20057967309765
2022,"Reunion","Stevenside",314.4642796767516
2008,"Heard Island and McDonald Islands","Jacksonville",314.4681908328719
2005,"Sweden","West John",314.493092715211
2005,"Georgia","South Jennifer",314.60838149688544
2011,"North Macedonia","Brianborough",314.70856136519944
2021,"United Kingdom","North Shannon",314.7618599336065
2010,"Belgium","South Toddmouth",314.81539172159484
2020,"Brazil","Port Laura",314.8930691505301
2008,"Jersey","Lake Johnville",314.949985455585
2008,"Singapore","Port Victoria",314.99518168219595
2005,"Wallis and Futuna","Wrightland",314.9965835969133
2007,"British Virgin Islands","Edwinview",314.9972591971345
2015,"Poland","Gillfurt",315.028705965313
2009,"Tanzania","Ericksonton",315.172084464208
2013,"Mayotte","North Julie",315.2269652532628
2019,"Spain","Laurieburgh",315.247804674984
2001,"Turkey","West Robertville",315.26596765689914
2015,"Liberia","Lake Whitney",315.30994196954174
2004,"Congo","Wrightland",315.4470473626334
2012,"Ukraine","East Davidton",315.46520411915367
2009,"Comoros","Newmanton",315.5369861960751
2016,"Lesotho","Lake Joshuatown",315.6470311854725
2021,"Jersey","Port Jason",315.8610160967708
2000,"Bulgaria","Lake Susanfort",315.9160988212604
2017,"Zambia","Johnsonshire",315.91674735137457
2001,"Philippines","Aguilarmouth",316.0726241554077
2022,"Ecuador","Obrienberg",316.1599132440517
2000,"Congo","West Micheleland",316.2131332933769
2013,"Philippines","Martineztown",316.21966211887104
2010,"Saint Barthelemy","Rubioland",316.2450620166044
2010,"Brunei Darussalam","Veronicaville",316.26175504196283
2022,"Canada","Lake Michaelton",316.3850478050214
2003,"Cyprus","Joshuaberg",316.3994322909176
2007,"Angola","Williamsberg",316.5746480590226
2002,"French Guiana","North Saramouth",316.5893809094033
2014,"Kiribati","West Joseph",316.8143765716632
2012,"Turkmenistan","South Melissa",316.8475479442459
2012,"Turkey","South Kimberly",316.8656216459852
2004,"Fiji","Lake Donnaside",316.89179979895323
2001,"Ghana","Carlamouth",316.89582580609715
2009,"United States Virgin Islands","North Jamesstad",316.90250494873226
2013,"San Marino","Nathanborough",316.9179725704287
2008,"Liechtenstein","South Lisa",316.99212237781643
2014,"Grenada","East Kennethtown",317.0552551034292
2003,"Equatorial Guinea","Port Diane",317.0611168688282
2021,"Greenland","New Ashley",317.0636458620477
2020,"Saint Vincent and the Grenadines","Matthewside",317.1067769327001
2001,"Switzerland","Port Dale",317.21155424609094
2004,"Western Sahara","East Timothybury",317.3160189777079
2008,"Trinidad and Tobago","South Wendy",317.3182496411611
2000,"Pitcairn Islands","North Teresachester",317.3264275313812
2015,"Algeria","East Brandonville",317.44311785365227
2018,"El Salvador","Marystad",317.48768222815465
2004,"Solomon Islands","Port Timothyburgh",317.60420197207134
2002,"Latvia","Katiefort",317.6199733067332
2005,"New Caledonia","West Elizabethchester",317.71295452838393
2000,"Pitcairn Islands","Martinfort",317.7208738234378
2006,"Nigeria","Hernandezberg",317.7327845195537
2009,"Vietnam","Moorebury",317.7355534454506
2016,"Djibouti","Lake Miguel",317.8518880189385
2009,"China","New Gregory",317.8567803234892
2002,"Liechtenstein","Mullinsport",317.8680108595985
2006,"Tanzania","North Andreamouth",317.8899297208569
2004,"Sudan","Port Robertchester",317.90524870890926
2003,"Tanzania","Port Melody",317.93147363416296
2017,"Italy","Colliertown",317.9443391040154
2006,"Saint Martin","West Garyview",317.95215128573483
2007,"Egypt","Lake Hector",317.9748038831148
2008,"United Kingdom","South Amanda",317.9883623898894
2002,"Jordan","Lake Randall",318.0599031091351
2010,"Australia","North Johnshire",318.0914801762073
2013,"Denmark","Lake Timothychester",318.1172409446349
2017,"Bahrain","Richardsontown",318.1398078708886
2004,"Paraguay","Larsontown",318.2224902922783
2007,"Australia","Lloydberg",318.3061627963304
2006,"Azerbaijan","New Larrymouth",318.31893552068954
2014,"Brazil","New Allisonton",318.3309551039489
2016,"Rwanda","Lisafurt",318.3755430666814
2017,"Uzbekistan","Quinnburgh",318.4841034901891
2021,"Russian Federation","Port Erichaven",318.5941982423547
2014,"Oman","West Allisonbury",318.6285098369351
2009,"Dominican Republic","Jacobview",318.6424652924669
2011,"Taiwan","Jonesfort",318.6693993806844
2016,"Puerto Rico","North Bradley",318.6845222822068
2015,"Timor-Leste","New Ellenburgh",318.7269233480508
2006,"Pitcairn Islands","North Ericmouth",318.96840729738904
2010,"Cyprus","Woodsport",318.9855237351181
2006,"Luxembourg","Monicaburgh",319.00366207414663
2011,"Chad","Colleenfurt",319.01839369884664
2022,"Turkey","South David",319.02370955417734
2022,"Saint Lucia","Amandafurt",319.0766151784306
2001,"United States Minor Outlying Islands","East Kathleenport",319.07908268669587
2017,"Mongolia","New Kevinmouth",319.10022614247566
2004,"Martinique","East Christopher",319.1071430798536
2001,"Bangladesh","North Ginahaven",319.1214793032856
2007,"Mayotte","Davisland",319.1286508237991
2002,"Saint Martin","South Michael",319.14664052810923
2008,"United Arab Emirates","Lake Deanna",319.2060472067271
2006,"Venezuela","Port Peter",319.3299280185741
2001,"Saint Helena","Port Matthewchester",319.38163792219746
2016,"France","Lake Bradleybury",319.41901397038635
2016,"Tunisia","North Timothy",319.43672350323584
2011,"Cuba","East Patricia",319.48897971300767
2011,"Azerbaijan","Cameronstad",319.6025840480386
2020,"Syrian Arab Republic","Lake Sydneyfort",319.66113384477285
2003,"Chile","Alexandermouth",319.8261393516807
2019,"Malta","New Timothy",319.85426015209464
2014,"Russian Federation","Isabellashire",319.90290983662857
2016,"Uganda","Sarahshire",319.95840698975394
2010,"China","North Brandon",319.98988027280564
2014,"Reunion","East Anthonyland",320.03103185285977
2017,"United Kingdom","West Cynthialand",320.1294802069797
2006,"Luxembourg","North Phillipville",320.1403082100578
