"year","country","location","sea_level_rise"
2016,"Albania","Patriciastad",-2.184257773350677
2009,"Panama","Lake Douglas",-2.183548352661106
2000,"Senegal","Martinhaven",-2.179743411821005
2004,"Indonesia","Riosberg",-2.17952916853168
2002,"Hungary","West Laurie",-2.1787009843758964
2008,"Lithuania","Lake Laurahaven",-2.178365141003988
2003,"Tanzania","Jessebury",-2.173465536183603
2004,"Russian Federation","Valenzuelabury",-2.1714476140258783
2016,"El Salvador","Cameronville",-2.1685771104817952
2011,"Jordan","North Morganview",-2.1648098924132952
2020,"Honduras","Melindabury",-2.164719796590068
2014,"Dominica","Brittanyborough",-2.164231518453443
2000,"Lesotho","Richardchester",-2.160843995716154
2010,"China","West Samuel",-2.158718066688473
2005,"Georgia","South Jennifer",-2.157296423537163
2018,"Sri Lanka","West Danielchester",-2.1563876215121818
2009,"Comoros","East Joshua",-2.153689028784493
2006,"Greenland","Coxshire",-2.153110017730332
2022,"Indonesia","Alexandermouth",-2.152278443028505
2009,"Malawi","Grahamstad",-2.150824491606617
2007,"Georgia","Petersonview",-2.145444226549758
2008,"Northern Mariana Islands","North Evelyn",-2.144048788567476
2013,"Uzbekistan","East Chadview",-2.1412809224118936
2013,"Lebanon","Port Christina",-2.140197425423201
2020,"Kazakhstan","Daviston",-2.139094335299298
2004,"North Macedonia","East Debra",-2.137320339592727
2015,"Estonia","Jeffreychester",-2.13644654913364
2018,"Lithuania","Stevenbury",-2.135610755128127
2001,"Portugal","Port Dustinport",-2.1318113368490166
2000,"Yemen","South Jeffreyfort",-2.1237242564625096
2002,"Cameroon","Michaelburgh",-2.121612988232939
2006,"French Guiana","North Crystalhaven",-2.120032282823023
2002,"Liechtenstein","Mullinsport",-2.1187078614336707
2001,"Bulgaria","Timothyfort",-2.1173590935648803
2005,"Angola","Taylorside",-2.1165935160642926
2020,"Saint Helena","Schwartzville",-2.1161052258046
2003,"Uzbekistan","Hunterfurt",-2.113496664254173
2013,"Togo","Colemanburgh",-2.1134949194467527
2002,"Liberia","Ellisbury",-2.113082548839364
2014,"Guyana","New Austinmouth",-2.107625493434629
2003,"Turkey","Wardburgh",-2.106773800209731
2006,"Denmark","Port David",-2.0999251216180554
2000,"Slovenia","Adrianport",-2.097867019060939
2022,"Palestinian Territory","Port Elizabethfort",-2.095633098913279
2020,"Italy","Gileshaven",-2.094813050112858
2006,"Andorra","West Spencer",-2.0922959842215647
2003,"Togo","East Dustin",-2.0873695909672
2002,"Israel","Rodriguezberg",-2.084531254024101
2021,"Mali","Geraldchester",-2.080485723611233
2009,"Jersey","Hudsonhaven",-2.074926728192109
2003,"Saint Pierre and Miquelon","Amystad",-2.074851605750476
2008,"Pitcairn Islands","Scottton",-2.0742906235614207
2019,"Turkmenistan","Paulfurt",-2.066049445864439
2021,"Papua New Guinea","West Molly",-2.0640400973968456
2018,"French Guiana","North Joshuaton",-2.063921947199928
2013,"Ghana","Linstad",-2.06168404813702
2000,"Rwanda","Hughesville",-2.0615358826600483
2020,"Monaco","Michellechester",-2.059103124216441
2020,"Ghana","Gutierreztown",-2.0450581413617424
2006,"Andorra","Paulside",-2.044800190940207
2000,"Belize","New Julie",-2.041663352069237
2002,"Austria","Villaside",-2.0406685081786398
2017,"Bangladesh","Adamston",-2.039464800084177
2004,"Niger","Port Chris",-2.0365936130359774
2021,"Greece","Caseychester",-2.034057704463731
2001,"Hong Kong","Blackwelltown",-2.0314463437720813
2001,"Hungary","Myersmouth",-2.031219212695313
2016,"Turkey","Lake Angelica",-2.0297830723199595
2016,"Vietnam","Port Carolmouth",-2.0266351930095725
2008,"Trinidad and Tobago","New Carmenside",-2.0263198522452384
2007,"Barbados","Carloston",-2.024594310529163
2012,"Gambia","South Miguelborough",-2.0237115017154776
2004,"Tonga","Jeffshire",-2.020467016350175
2002,"Turkey","Courtneychester",-2.020242451708548
2008,"Vanuatu","East Angelaside",-2.0196172153518863
2001,"Uzbekistan","New Nicholasside",-2.012910375820663
2020,"Monaco","Craigland",-2.0065945872695257
2015,"Seychelles","Hillburgh",-2.0046927073425707
2013,"Iraq","Strongburgh",-2.0035177268725795
2010,"Iceland","East Ethantown",-2.002559040390567
2010,"Australia","Graychester",-2.0020271610067297
2001,"Iceland","Aaronton",-2.001500125816474
2002,"Guyana","Danielleberg",-1.9963608515756817
2004,"Indonesia","Johnport",-1.996331743618548
2012,"Hungary","Watkinsmouth",-1.994958483165631
2019,"Bangladesh","Jeremychester",-1.9944097353362136
2019,"Saint Vincent and the Grenadines","North Zachary",-1.9911951755736716
2018,"Greece","East Cynthia",-1.9908765609573649
2011,"Estonia","Port Stephanie",-1.9903395633673413
2004,"Gibraltar","Heatherchester",-1.9852994321594444
2000,"Russian Federation","Lake Jon",-1.9834524640125384
2001,"Kenya","Port Rhonda",-1.9695788716381983
2011,"Tajikistan","Rothchester",-1.9673231817822765
2016,"Saint Barthelemy","Barnesmouth",-1.9659777625723112
2017,"Cocos (Keeling) Islands","Brendashire",-1.9659585339974537
2001,"Netherlands Antilles","Cruzview",-1.9658703758708456
2021,"Australia","West Victoriaburgh",-1.9616513747448183
2001,"Jamaica","Butlerhaven",-1.9614596359126255
2011,"New Caledonia","East Angela",-1.960059068866543
2000,"Ecuador","Gordonport",-1.9597341057401605
2002,"Botswana","South Nancy",-1.95857799129878
2003,"Saint Pierre and Miquelon","New Kevin",-1.956783390877068
2004,"Germany","South Erik",-1.9552765843725677
2014,"Saint Barthelemy","East Annaburgh",-1.9549162982951525
2011,"Netherlands Antilles","Jacksonhaven",-1.9527814380740525
2020,"Tanzania","South Ambermouth",-1.9505933528395585
2018,"Montserrat","Garrettstad",-1.950513885309277
2008,"Spain","East Dylan",-1.9497573005149889
2014,"Togo","Lake Reginafort",-1.946981537434722
2009,"Pitcairn Islands","West Richardchester",-1.945592068514256
2000,"French Southern Territories","Aaronton",-1.9416944115735588
2020,"Puerto Rico","Audreymouth",-1.936541511203824
2005,"Ghana","South Joannabury",-1.9340043712349655
2002,"Morocco","Rogerstown",-1.932676722183888
2016,"Mali","Duncanton",-1.932495598734879
2006,"Antigua and Barbuda","Smithtown",-1.932448623372344
2016,"Svalbard & Jan Mayen Islands","Port Jessica",-1.9312538082767776
2019,"Iran","Hamptonfurt",-1.930141175122069
2015,"Egypt","Nguyenburgh",-1.928378948573288
2022,"Palestinian Territory","Williamburgh",-1.9263350425513672
2021,"Poland","Grossbury",-1.9227978824758705
2017,"Iran","West Alyssa",-1.91861423101778
2001,"Lesotho","West Rickyfurt",-1.9185268639916304
2008,"Korea","West Gregorymouth",-1.918470258481097
2005,"Georgia","West Thomasport",-1.9173163914611835
2000,"Bangladesh","Mollyhaven",-1.9146510690046408
2022,"Burkina Faso","Nicoleside",-1.9139259570043
2021,"Finland","Anthonyburgh",-1.9134005019586489
2011,"Heard Island and McDonald Islands","Lake Kimberly",-1.9132582425341709
2008,"Saint Martin","North Nathaniel",-1.912846854538253
2004,"Afghanistan","Charlesside",-1.909797825306864
2009,"Lesotho","North Matthew",-1.9096124032752304
2008,"Togo","Joshuaview",-1.909354385891593
2000,"Lesotho","Port Jasonburgh",-1.908513498176928
2017,"Micronesia","West Reginald",-1.9073292055368023
2013,"Bouvet Island (Bouvetoya)","Craigmouth",-1.904673458057506
2003,"Western Sahara","South Jessemouth",-1.9021183389083087
2016,"Guinea","Jackmouth",-1.900499577296704
2008,"Mozambique","Leechester",-1.8982938315875209
2008,"Samoa","New Jeremystad",-1.8980850088684165
2005,"Israel","Michaelstad",-1.897803895616539
2014,"Micronesia","Annemouth",-1.8978026507938
2009,"Pakistan","Russostad",-1.896495935202564
2000,"Morocco","Bryantside",-1.8946596120366332
2022,"Malaysia","Murphyshire",-1.893060340612033
2022,"Nigeria","South Bryanfurt",-1.885855706631962
2016,"Micronesia","Greerfurt",-1.8857862079627208
2012,"Argentina","Turnerton",-1.8843708256881784
2018,"Falkland Islands (Malvinas)","Victoriaview",-1.8804401327124525
2010,"Niger","New Jeffreyburgh",-1.879067566359305
2019,"Dominican Republic","New Kyle",-1.876624652870578
2019,"Ireland","Port Paulberg",-1.876278691078419
2020,"Cocos (Keeling) Islands","Harpermouth",-1.8760465540856344
2020,"Kuwait","Murillomouth",-1.8741630841334995
2022,"Puerto Rico","Anneshire",-1.8719577355752508
2003,"Algeria","Annamouth",-1.8667393464270323
2007,"Antarctica (the territory South of 60 deg S)","Port Christopher",-1.8663587666672892
2004,"Bangladesh","South Ashleymouth",-1.8646549806138384
2001,"Tajikistan","South Michelleburgh",-1.8632479407251143
2018,"Botswana","New Andrewfurt",-1.8614440003894244
2004,"Tunisia","Port Jenniferside",-1.8597845148804972
2017,"Cuba","East Gregorymouth",-1.8596430018749743
2020,"Costa Rica","Shepherdland",-1.855708547573059
2021,"Guam","North Dominiqueton",-1.852941015513929
2018,"Ireland","Martinezview",-1.8509303696054151
2016,"Trinidad and Tobago","Denisestad",-1.850356676725928
2005,"Northern Mariana Islands","Maryberg",-1.847329283452464
2016,"Estonia","Port Ericstad",-1.8469240826372453
2018,"Botswana","Waltermouth",-1.8453153706066097
2012,"Iraq","West Melissamouth",-1.84497248066472
2016,"French Guiana","Heatherview",-1.844801078912184
2003,"Pakistan","Port Joshuaville",-1.8446199463034587
2016,"Nepal","Cunninghamton",-1.8434993967878917
2001,"Cambodia","South Pamela",-1.843133681077227
2014,"Kenya","West Derek",-1.8429200767665104
2000,"Bouvet Island (Bouvetoya)","North Valerieport",-1.84287323508023
2001,"Saint Lucia","East Susanfurt",-1.8419509555223952
2018,"Bahrain","Gardnerbury",-1.8412473996146304
2011,"Timor-Leste","North Robinmouth",-1.8390744016417584
2022,"Niue","South Alexandriachester",-1.8380921119540847
2001,"Turkey","Armstrongfurt",-1.838068401744224
2011,"Cook Islands","Foxmouth",-1.8379936899607705
2013,"Congo","Levyfurt",-1.8376726423360472
2013,"Brazil","West Randyport",-1.83448186369576
2013,"Iraq","South Craigside",-1.8332909998596416
2015,"Luxembourg","Milesshire",-1.831486590390289
2012,"Palestinian Territory","Jonesside",-1.8261942631014605
2021,"Svalbard & Jan Mayen Islands","Colleenburgh",-1.824108565952606
2009,"Heard Island and McDonald Islands","Bellview",-1.8230859965795096
2019,"Japan","New Sarahfort",-1.822376223390742
2017,"Mauritania","Lanemouth",-1.8214621182952384
2013,"New Zealand","South Barbaraland",-1.8204189703278264
2000,"Indonesia","Lake Eric",-1.8197303830463576
2001,"Wallis and Futuna","Adamsburgh",-1.81896437541048
2018,"Palau","West Taylor",-1.8179015672409715
2012,"Puerto Rico","Meganville",-1.8163315479804103
2003,"Tanzania","Hughesberg",-1.8162876027094423
2016,"Isle of Man","Kathleenborough",-1.816012687294992
2013,"Liechtenstein","East Kimberly",-1.8143499587212728
2019,"Jordan","Donaldton",-1.814245176578323
2011,"India","Philipstad",-1.813954707753324
2012,"Cayman Islands","West Edwardmouth",-1.8129572672450889
2006,"Cayman Islands","Elizabethton",-1.81131097232901
2019,"Guadeloupe","Erinberg",-1.810301654636293
2004,"Saudi Arabia","Nicholasbury",-1.809644207544177
2015,"Niger","Thomashaven",-1.809295563829315
2022,"Colombia","Matthewville",-1.8090631314855976
2006,"Marshall Islands","New Kyle",-1.8088041320425396
2002,"Armenia","Smithshire",-1.804036917205956
2019,"Taiwan","Lake Alyssamouth",-1.8039833451745972
2014,"Andorra","West Jessica",-1.792505084472119
2007,"Australia","West Kathyfurt",-1.7920216032115626
2017,"Cook Islands","Christinemouth",-1.787992809854866
2021,"Saint Lucia","Lake Adrianafort",-1.7876133490244572
2016,"Kiribati","South Todd",-1.7874558823912954
2001,"Namibia","Kevinhaven",-1.7855251150769742
2014,"Falkland Islands (Malvinas)","Allenberg",-1.7852359406970608
2008,"Luxembourg","Rachelport",-1.7820976001834197
2018,"United Kingdom","Mullenburgh",-1.7816702700571734
2015,"Greenland","Lake Calebchester",-1.781389648427158
2008,"Turkmenistan","Port Karenchester",-1.7801432837337554
2008,"Algeria","South Lindseyview",-1.779850772646756
2021,"Niue","Mackmouth",-1.7794480000519446
2009,"Hong Kong","Port Michaelview",-1.777401911660287
2018,"Panama","Holderburgh",-1.776617625036322
2006,"French Guiana","Lake Amy",-1.7760553160975003
2014,"Uganda","New Theresaside",-1.77405420632206
2013,"Belgium","East Laura",-1.7740478276780542
2021,"Heard Island and McDonald Islands","West Antoniomouth",-1.7722089022112308
2016,"Anguilla","North Jay",-1.7701143798162444
2009,"Congo","Kellyburgh",-1.769621456815894
2020,"South Georgia and the South Sandwich Islands","Andersonstad",-1.768591230036966
2000,"French Guiana","Wellsville",-1.7665776276956324
2011,"Jersey","Carolport",-1.763008705482411
2018,"Northern Mariana Islands","East Taylorburgh",-1.7623443558760596
2018,"Oman","Bradleyview",-1.7612021796296762
2010,"Mali","New Lisaville",-1.7603887510831184
2010,"Cote d'Ivoire","Daltonland",-1.760207060041635
2021,"Mauritius","West Aaron",-1.7567275583254378
2007,"Iraq","Lake Karenstad",-1.7561399538987472
2009,"Singapore","East Jasmine",-1.7534665962348468
2005,"Singapore","Lake Rachael",-1.7521910497555215
2012,"Antarctica (the territory South of 60 deg S)","South Anita",-1.7517073907420206
2019,"Tunisia","East Breannaside",-1.7512560377275446
2015,"Guinea-Bissau","Medinaport",-1.7504529522553902
2021,"Haiti","South Benjamin",-1.7491009260973718
2010,"South Africa","Brandifort",-1.7482512442055724
2008,"Germany","Castanedaberg",-1.7482321993029883
2017,"Belize","North Karla",-1.7479915639169596
2016,"Zambia","West Anthony",-1.7469237104182516
2004,"Czech Republic","North Susanmouth",-1.7439262487314604
2006,"Saudi Arabia","Lake Sandrafurt",-1.7438831573986049
2002,"Czech Republic","East Eric",-1.7425841737669507
2013,"Ghana","Kendraburgh",-1.7422596882963564
2018,"Hong Kong","Millermouth",-1.7420906703382633
2021,"Tajikistan","Lake Benjamin",-1.74150576823395
2003,"South Georgia and the South Sandwich Islands","Lake Christineside",-1.7411347120751228
2010,"Djibouti","Rachelville",-1.7388871054494195
2021,"Kuwait","Jamesmouth",-1.737457084375074
2012,"El Salvador","Lake Josephton",-1.736181978843656
2012,"Egypt","Richardbury",-1.7341390556147704
2007,"Congo","North Michellestad",-1.7309044043330195
2007,"Czech Republic","Cindymouth",-1.7295029751024371
2021,"Guinea","South Alicia",-1.7262444243124897
2002,"Suriname","Jacksontown",-1.723666347385468
2007,"Madagascar","Ginafurt",-1.722820760333815
2000,"Algeria","East Brandonchester",-1.7183261758176382
2003,"Yemen","Colleenland",-1.717465995541791
2010,"Sudan","Gregoryfort",-1.716780051517932
2020,"Saint Martin","Dariusshire",-1.7167349600282016
2014,"Azerbaijan","Port Sarahburgh",-1.713050711971026
2013,"Martinique","West Andrew",-1.7130135684546477
2020,"Cape Verde","Port Julie",-1.7124286532930908
2015,"Svalbard & Jan Mayen Islands","Port Stevenborough",-1.7124139568129648
2000,"Chad","North Thomas",-1.7122242470452451
2007,"British Virgin Islands","Edwinview",-1.7115435297328188
2015,"Israel","New Sabrina",-1.711280972008635
2013,"Morocco","Lake Ann",-1.7103384660157577
2006,"Niger","Deanside",-1.7100912849832244
2008,"Northern Mariana Islands","Lake Ronald",-1.7100747692692269
2012,"Nigeria","Michelleland",-1.7093752577052848
2004,"Ghana","Wallfurt",-1.7091625291193209
2012,"Solomon Islands","Jameschester",-1.709028909297333
2006,"New Zealand","West William",-1.708384734591537
2010,"Philippines","Smithburgh",-1.7072173108860016
2019,"Suriname","South Tracey",-1.7070717737153194
2014,"Papua New Guinea","South Meredithchester",-1.706690361128407
2020,"Antigua and Barbuda","Stephentown",-1.706524175987156
2013,"Guinea-Bissau","North Joybury",-1.705276051850952
2022,"France","West Kaitlinbury",-1.7032896859264215
2002,"Albania","Moraleschester",-1.7025294539146938
2013,"Thailand","West Erikaland",-1.6999900510525758
2007,"Holy See (Vatican City State)","West Karenborough",-1.6993889132756304
2018,"Isle of Man","Lake Matthew",-1.6980731033064116
2020,"Congo","West Briannafort",-1.6979589579548957
2002,"Puerto Rico","Adamland",-1.6975345197524974
2001,"Uganda","Ericastad",-1.6962414807886446
2002,"Latvia","Katiefort",-1.6961876669419809
2007,"Sweden","Lorihaven",-1.6947515153907908
2011,"Thailand","New Steven",-1.6941815845044697
2018,"Lithuania","New Michael",-1.6930488413255913
2020,"Reunion","Port Justin",-1.6930137657542863
2000,"Turks and Caicos Islands","Holmesport",-1.6888301313291243
2005,"Latvia","New Mariah",-1.6886352025028109
2010,"Finland","New Maria",-1.6881296988447354
2022,"Switzerland","Port Jameschester",-1.6863256791679346
2015,"Netherlands Antilles","New Bradley",-1.6859655843555494
2009,"Liberia","Lake Katherine",-1.6853460189651064
2006,"Iraq","North Howardport",-1.683960555011138
2015,"Slovakia (Slovak Republic)","Melissamouth",-1.6831387223335383
2017,"Norfolk Island","East Phyllis",-1.682643941325895
2022,"Paraguay","Turnerberg",-1.6760482468153264
2004,"Cambodia","Matthewfort",-1.6745370343988104
2016,"Hungary","Lake Alyssahaven",-1.6738955134787594
2011,"Lithuania","Port Sarah",-1.67373372551709
2017,"Samoa","Lake Jennifer",-1.6734264267467018
2004,"Micronesia","East Olivia",-1.6728784899775468
2015,"Mexico","North Jamesside",-1.6724618590546534
2001,"Zimbabwe","Allenchester",-1.6723646055336712
2004,"Algeria","Thomasland",-1.672320187439388
2016,"Togo","Jeremyburgh",-1.6720526432087486
2015,"Bolivia","Lake Annaborough",-1.6698875671821434
2014,"Serbia","Youngside",-1.6678113936495342
2020,"Monaco","Christopherland",-1.6676407763612202
2010,"Uruguay","Lake Melissa",-1.6675882061453644
2008,"Sri Lanka","North Jonathanmouth",-1.6672872215758912
2013,"Singapore","Lake Marissa",-1.666170779522009
2021,"Bosnia and Herzegovina","Kingberg",-1.6654423333198722
2020,"Syrian Arab Republic","Lake Sydneyfort",-1.6649595063345808
2001,"Kazakhstan","East Lauraborough",-1.6649446792887803
2009,"Christmas Island","Lake Mark",-1.6646400937809778
2017,"New Zealand","New Ian",-1.6640709592181506
2001,"Montserrat","North Brittanyberg",-1.6638157561565434
2001,"Papua New Guinea","Lake Aprilmouth",-1.6631492313975735
2012,"Guam","New Jenniferstad",-1.6613513966050324
2003,"Northern Mariana Islands","Port Katherinefort",-1.6591528271691116
2022,"Kazakhstan","Blackburnside",-1.658995660204708
2009,"Dominican Republic","North Anthony",-1.655360302120937
2018,"Tanzania","Ashleymouth",-1.6552927346258832
2015,"Chad","Collinsfurt",-1.6538019991714974
2021,"Sao Tome and Principe","Wallaceport",-1.6502747851449762
2014,"Honduras","Wilcoxport",-1.6481314194820669
2009,"Iran","Sharonborough",-1.6476803520907972
2021,"Barbados","Port Williamville",-1.6474629845665103
2022,"New Zealand","Shaneton",-1.646639831238591
2008,"Czech Republic","West Kelly",-1.6463344916341225
2016,"Indonesia","Jarvismouth",-1.6459089654683503
2022,"Uzbekistan","Port Nichole",-1.6450693864372363
2019,"Samoa","West Joshuamouth",-1.6431058095084734
2008,"Turkey","Elizabethville",-1.6427074963459654
2014,"Madagascar","North Deniseland",-1.6408416937219663
2013,"Bosnia and Herzegovina","New Samuel",-1.6407068225158454
2006,"Reunion","Port Sarahport",-1.6401251823507448
2006,"Zambia","Hillview",-1.6398797858900005
2018,"Maldives","Kennethport",-1.6392021170392406
2015,"Algeria","East Brandonville",-1.6387838168963098
2021,"Australia","Stoutview",-1.6373233390707735
2014,"Haiti","Brownview",-1.6369586618214078
2019,"Togo","Lake Kristen",-1.6355110212236288
2006,"Taiwan","Lake Shannon",-1.6340953398706788
2004,"Congo","East Lawrence",-1.6317173836923609
2020,"Finland","Debbiefort",-1.631371376321811
